Hz,Gain_dB,NF_dB
5.0e9,13.06,7.17
5.2e9,13.50,6.48
5.4e9,13.84,5.96
5.6e9,14.08,5.56
5.8e9,14.26,5.26
6.0e9,14.41,5.03
6.2e9,14.52,4.81
6.4e9,14.62,4.65
6.6e9,14.69,4.55
6.8e9,14.74,4.50
7.0e9,14.80,4.51
7.2e9,14.84,4.31
7.4e9,14.86,4.23
7.6e9,14.88,4.20
7.8e9,14.87,4.17
8.0e9,14.86,4.14
8.2e9,14.81,4.17
8.3e9,14.80,4.13
8.4e9,14.76,4.11
8.8e9,14.63,4.20
8.9e9,14.60,4.24
9.0e9,14.52,4.27
9.1e9,14.50,4.26
9.2e9,14.43,4.27
9.3e9,14.38,4.25
9.6e9,14.20,4.37
9.7e9,14.15,4.38
9.8e9,14.03,4.40
9.9e9,14.06,4.40
10.0e9,14.03,4.39
10.5e9,13.76,4.54
11.0e9,13.55,4.69
11.5e9,13.37,4.82
12.0e9,13.20,4.87
12.5e9,13.10,4.94
13.0e9,13.02,5.07
13.5e9,13.00,5.11
14.0e9,13.11,5.23
14.5e9,13.29,5.24
15.0e9,13.58,5.30
15.5e9,13.80,5.21
16.0e9,13.96,5.20
16.5e9,14.02,5.27
17.0e9,13.84,5.30
17.5e9,13.41,5.59
18.0e9,12.86,5.90
