Hz,Gain_dB,NF_dB
5.0e9,13.97,6.22
5.2e9,14.38,5.59
5.4e9,14.70,5.05
5.6e9,14.93,4.68
5.8e9,15.09,4.37
6.0e9,15.23,4.19
6.2e9,15.33,3.94
6.4e9,15.44,3.80
6.6e9,15.51,3.69
6.8e9,15.56,3.63
7.0e9,15.63,3.50
7.2e9,15.66,3.44
7.4e9,15.69,3.41
7.6e9,15.72,3.33
7.8e9,15.73,3.30
8.0e9,15.73,3.31
8.2e9,15.68,3.30
8.3e9,15.69,3.33
8.4e9,15.65,3.31
8.8e9,15.52,3.36
8.9e9,15.51,3.39
9.0e9,15.45,3.40
9.1e9,15.44,3.38
9.2e9,15.38,3.37
9.3e9,15.33,3.38
9.6e9,15.16,3.50
9.7e9,15.09,3.52
9.8e9,15.05,3.47
9.9e9,15.03,3.50
10.0e9,15.03,3.49
10.5e9,14.74,3.67
11.0e9,14.61,3.76
11.5e9,14.44,3.80
12.0e9,14.31,3.94
12.5e9,14.24,3.97
13.0e9,14.20,4.15
13.5e9,14.25,4.17
14.0e9,14.35,4.13
14.5e9,14.56,4.25
15.0e9,14.86,4.30
15.5e9,15.08,4.22
16.0e9,15.33,4.16
16.5e9,15.42,4.22
17.0e9,15.32,4.27
17.5e9,14.98,4.50
18.0e9,14.46,4.77
