Hz,Gain_dB,NF_dB
10e6,14.85,5.76
50e6,15.00,5.64
100e6,15.02,5.47
200e6,14.76,5.49
300e6,14.77,5.46
400e6,14.93,5.47
500e6,14.83,5.55
600e6,14.74,5.57
700e6,14.79,5.55
800e6,14.71,5.59
900e6,14.64,5.60
1000e6,14.63,5.66
1500e6,14.43,5.78
2000e6,14.34,5.84
2500e6,14.26,5.86
3000e6,14.17,5.89
3500e6,14.09,5.98
4000e6,14.07,5.93
4500e6,14.12,5.81
5000e6,14.14,5.70
5500e6,14.12,5.74
6000e6,14.05,5.67
6500e6,13.96,5.72
7000e6,13.86,5.83
7500e6,13.75,5.93
8000e6,13.58,6.03
8500e6,13.38,6.01
9000e6,13.14,6.16
9500e6,12.91,6.15
10000e6,12.67,6.20
10500e6,12.43,6.17
11000e6,12.22,6.11
11500e6,11.99,6.11
12000e6,11.67,6.06
12500e6,11.15,6.16
13000e6,10.50,6.33
13500e6,9.87,6.39
14000e6,9.33,6.57
14500e6,8.86,6.83
15000e6,8.43,7.07
15500e6,7.95,7.32
16000e6,7.56,7.28
16500e6,7.18,7.15
17000e6,6.62,7.01
17500e6,6.08,7.32
18000e6,5.56,7.74
