Hz,Gain_dB,NF_dB
10e6,15.71,4.19
50e6,15.83,3.88
100e6,15.84,3.77
200e6,15.74,3.79
300e6,15.74,3.79
400e6,15.83,3.74
500e6,15.67,3.77
600e6,15.60,3.85
700e6,15.74,3.78
800e6,15.57,3.83
900e6,15.64,3.83
1000e6,15.53,3.85
1500e6,15.48,3.97
2000e6,15.31,4.03
2500e6,15.26,4.06
3000e6,15.23,4.04
3500e6,15.23,4.09
4000e6,15.24,4.07
4500e6,15.22,3.98
5000e6,15.24,3.90
5500e6,15.25,3.89
6000e6,15.20,3.82
6500e6,15.08,3.85
7000e6,15.06,3.94
7500e6,14.99,4.00
8000e6,14.91,4.02
8500e6,14.88,3.98
9000e6,14.84,4.13
9500e6,14.80,4.12
10000e6,14.74,4.13
10500e6,14.66,4.02
11000e6,14.63,4.05
11500e6,14.65,4.04
12000e6,14.67,4.01
12500e6,14.52,4.01
13000e6,14.17,4.16
13500e6,13.60,4.33
14000e6,12.87,4.40
14500e6,12.22,4.60
15000e6,11.83,4.69
15500e6,11.37,4.79
16000e6,10.99,4.87
16500e6,10.55,4.89
17000e6,10.14,4.65
17500e6,9.45,4.57
18000e6,8.80,4.70
