Freq_GHz,NFmin_dB,GammaOpt_mag,GammaOpt_deg,Rn_Ohm
1.70,0.55,0.28,60.75,3.91
1.80,0.55,0.28,64.92,3.80
1.90,0.55,0.28,69.08,3.70
2.00,0.54,0.28,73.23,3.59
2.10,0.54,0.28,77.36,3.48
2.20,0.54,0.28,81.47,3.37
2.30,0.54,0.28,85.55,3.26
2.40,0.54,0.28,89.61,3.16
2.50,0.54,0.28,93.63,3.06
2.60,0.55,0.28,97.62,2.96
2.70,0.55,0.28,101.57,2.87
2.80,0.56,0.28,105.48,2.79
2.90,0.56,0.27,109.33,2.71
3.00,0.57,0.27,113.12,2.65
3.10,0.58,0.27,116.85,2.59
3.20,0.59,0.26,120.52,2.54
3.30,0.61,0.26,124.11,2.51
3.40,0.62,0.26,127.62,2.48
3.50,0.64,0.25,131.04,2.47
3.60,0.66,0.25,134.38,2.47
3.70,0.68,0.24,137.62,2.48
3.80,0.70,0.23,140.76,2.50
3.90,0.72,0.23,143.79,2.54
4.00,0.75,0.22,146.70,2.60
4.10,0.78,0.21,149.50,2.67
4.20,0.81,0.21,152.18,2.75
