Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0746924,-0.9498371,-50.2727699,34.3207207,-78.8490372,66.9611511,-0.0597880,-0.3751421
20000000,-0.0767720,-0.8220303,-62.9412117,-52.4863281,-87.2498932,81.6540833,-0.0658685,-0.9214005
30000000,-0.0658974,-1.1750900,-71.8885422,74.8495789,-95.0519638,48.8328209,-0.0648978,-1.2927990
40000000,-0.0693369,-1.5951110,-58.0105782,-97.5739212,-86.2149124,81.2616196,-0.0561236,-1.6092010
50000000,-0.1098138,-2.0707600,-62.6447105,-108.9085999,-68.0870667,-47.5774994,-0.0351900,-2.1448250
100000000,-0.1103369,-3.9970911,-55.7337303,-161.6902008,-99.5762024,-83.3953476,-0.0336425,-4.4471221
150000000,-0.1350313,-5.4961600,-51.5105896,-171.4788971,-80.4559479,81.7026062,-0.0312246,-6.6086421
200000000,-0.1467433,-6.9325371,-47.2120895,-170.1177063,-82.3976669,78.2403336,-0.0300431,-8.5681400
250000000,-0.1558350,-8.3454409,-42.6522598,-164.3159943,-81.0824738,88.6515274,-0.0319273,-10.7132397
300000000,-0.1680062,-9.7615108,-39.5142899,-162.8423004,-77.1149368,74.0936432,-0.0340721,-12.7772598
350000000,-0.1759314,-11.3825903,-36.0421906,-161.2599030,-76.6959991,75.2629166,-0.0431689,-15.0557499
400000000,-0.1707698,-13.0180397,-33.0780296,-161.5384979,-76.3781128,73.6509171,-0.0525742,-17.3250294
450000000,-0.1766138,-14.7324104,-30.4463692,-162.1197968,-75.8349609,77.8704834,-0.0706524,-19.7606792
500000000,-0.1764929,-16.4330406,-27.9488792,-162.3592072,-74.6877136,73.7814331,-0.0873496,-22.0927391
550000000,-0.1841426,-18.1361809,-25.6764202,-163.5682983,-74.2126465,72.9253464,-0.1074703,-24.4584503
600000000,-0.1866505,-19.7881908,-23.5915909,-165.1327057,-73.4964676,73.5662231,-0.1357665,-26.7925606
650000000,-0.1878101,-21.4166603,-21.5981407,-166.7075043,-72.9866867,76.8517914,-0.1624010,-29.1503296
700000000,-0.1926781,-22.9894409,-19.6055794,-168.6860962,-73.7911072,71.2983398,-0.2046556,-31.5704403
750000000,-0.1924496,-24.5658092,-17.5238094,-171.7039948,-74.0038834,76.9930878,-0.2647246,-34.0429497
800000000,-0.2022488,-26.1587601,-16.1905594,179.6371002,-74.9443130,87.2470932,-0.3416791,-36.2930717
850000000,-0.2094104,-27.7750607,-15.2786798,177.0343933,-69.1667328,69.4148788,-0.3718027,-38.6642799
900000000,-0.2116597,-29.5847702,-14.3679104,178.5538940,-68.5662079,60.8851814,-0.3832055,-41.3115501
950000000,-0.2193630,-31.3364105,-12.5912304,178.0097961,-70.2182922,55.9432907,-0.4490633,-44.0975990
1000000000,-0.2371326,-33.1365089,-11.0067997,175.3704987,-71.0667419,55.3428993,-0.5286361,-46.8266907
1050000000,-0.2371837,-34.8749008,-9.6178093,171.8854980,-71.6187897,57.6074791,-0.6211529,-49.4540901
1100000000,-0.2440649,-36.6224098,-8.2463369,168.8074036,-71.8488693,60.3502998,-0.7255118,-52.1384087
1150000000,-0.2595384,-38.3436890,-6.9427009,164.5587006,-73.3726273,67.3147125,-0.8493409,-54.8011703
1200000000,-0.2708667,-39.9251709,-5.7303009,160.4873962,-73.0402908,77.1890717,-0.9881127,-57.4842186
1250000000,-0.2853941,-41.6939888,-4.5310340,156.1614990,-72.5623932,86.5311813,-1.1493970,-60.3329201
1300000000,-0.2973014,-43.3676300,-3.3820801,151.5357056,-71.5419235,89.8438034,-1.3211200,-63.1304398
1350000000,-0.3178971,-45.1773491,-2.2834580,146.3227997,-70.6045990,99.0159912,-1.5138340,-65.9725800
1400000000,-0.3418441,-47.0413399,-1.2646490,141.1477966,-68.6730499,97.8958893,-1.7242970,-68.7031937
1450000000,-0.3577648,-48.9686317,-0.2814054,135.7250061,-67.3470993,99.6228333,-1.9471120,-71.3367386
1500000000,-0.3695316,-50.8126984,0.6592613,129.8464966,-65.4228668,99.8942566,-2.1785820,-73.8527832
1550000000,-0.3933988,-52.6723404,1.5201430,123.9683990,-63.9729996,98.5218964,-2.4334960,-76.3251572
1600000000,-0.4188601,-54.5642395,2.3467529,117.8299026,-62.6382599,93.4866486,-2.7047751,-78.6434097
1650000000,-0.4358483,-56.3628807,3.1393640,111.3595963,-61.1367607,89.0898972,-2.9770291,-80.9844666
1700000000,-0.4656129,-58.1374817,3.8531530,104.6151962,-59.5258293,82.9866409,-3.2570720,-83.2657089
1750000000,-0.5024676,-59.9250488,4.5164099,97.6393127,-58.3060188,76.6758194,-3.5231099,-85.6441269
1800000000,-0.5375101,-61.7751617,5.1360779,90.3880463,-56.7981110,68.7349167,-3.7974169,-88.0843430
1850000000,-0.5773064,-63.6105995,5.6864228,82.7839966,-55.6220093,58.6491508,-4.0747590,-90.7553482
1900000000,-0.6180315,-65.4888000,6.1694450,74.9464264,-54.4306793,51.2398911,-4.3920789,-93.8188705
1950000000,-0.6580749,-67.5121994,6.5905252,66.6746063,-52.8947296,40.3717499,-4.7503171,-97.4070129
2000000000,-0.7067115,-69.4108734,6.9283142,57.9561310,-51.6953087,29.0898705,-5.2427111,-101.7525024
2050000000,-0.7508515,-71.3419113,7.1795340,48.5722389,-50.1212196,16.4852905,-5.9564028,-106.7143021
2100000000,-0.8190285,-73.1749573,7.2306142,38.6385002,-49.6456604,3.1995630,-7.0103111,-111.8912964
2150000000,-0.8791783,-74.7963333,7.1672492,28.1711807,-47.7345581,-7.2062640,-8.7132187,-117.6381989
2200000000,-0.9570389,-76.5306778,6.8496599,17.1420593,-47.1776199,-25.5854092,-11.6304903,-122.0157013
2250000000,-1.0228730,-78.0578232,6.0825830,6.1425252,-45.9495316,-43.2366714,-16.3255806,-113.0427017
2300000000,-1.1135930,-79.6422729,5.1332488,-4.1701350,-45.6188507,-60.4565201,-20.4899406,-53.2526283
2350000000,-1.1783110,-81.1344299,3.6346099,-13.3958902,-45.7216110,-78.1711884,-13.3512096,-23.5234299
2400000000,-1.2317040,-82.7633667,1.9472350,-19.0577602,-45.4194794,-91.7284470,-9.4085569,-23.7513809
2450000000,-1.2729520,-84.3173676,0.1203303,-21.7035198,-45.7220306,-105.4964981,-6.8361959,-30.4243603
2500000000,-1.3054340,-86.0377731,-1.6374190,-20.7843895,-46.0934296,-117.0169983,-5.1750231,-38.4289589
2550000000,-1.3418180,-87.7550812,-3.0402009,-16.7629604,-46.3774605,-129.0274963,-4.1078401,-45.7608604
2600000000,-1.3770530,-89.4863968,-4.0245481,-11.6789703,-46.7938309,-137.7422028,-3.3202479,-52.6280289
