Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0267001,-0.4229628,-62.6115417,-129.9403992,-79.8551102,142.5157013,-0.0604855,-0.2891625
20000000,-0.0904334,-0.5891212,-69.6760483,-106.8396988,-83.5439682,-90.5552979,-0.0701978,-0.7969832
30000000,-0.0694313,-1.0054450,-62.1907806,-102.8781967,-98.6729889,46.3209000,-0.0730503,-1.0689729
40000000,-0.0683086,-1.3000931,-60.0542297,-4.5337520,-90.3047409,140.4844055,-0.0639861,-1.3018620
50000000,-0.0541738,-1.9240760,-76.1830368,68.6139679,-66.9455032,18.0697098,-0.0388498,-1.7997540
100000000,-0.1237173,-3.3719449,-56.5273590,177.6098022,-82.5985794,94.1174011,-0.0402810,-3.9424331
150000000,-0.1438140,-4.9438052,-49.3644104,170.8392029,-81.5323181,103.6561966,-0.0446168,-6.1611881
200000000,-0.1505148,-6.5132241,-46.1632118,-178.6576996,-80.9687271,83.0640030,-0.0487375,-8.2529497
250000000,-0.1681183,-8.0991354,-42.6463814,-179.1432953,-80.5397568,64.6453323,-0.0582228,-10.5611095
300000000,-0.1815637,-9.6362028,-39.4931107,-177.6486053,-78.4809265,78.6239166,-0.0673875,-12.6951799
350000000,-0.1873781,-11.2525301,-36.5816307,-175.6847992,-76.7957535,80.9125900,-0.0853481,-14.9250402
400000000,-0.1804030,-12.7604103,-33.9288216,-172.5348053,-76.9877930,71.1747131,-0.0992135,-17.0407104
450000000,-0.1848039,-14.3225403,-31.3691406,-173.4107971,-75.6898575,73.8503036,-0.1227369,-19.2861195
500000000,-0.1855403,-15.8370304,-29.0495205,-172.0193939,-75.3245773,78.0068436,-0.1425213,-21.4130402
550000000,-0.2049349,-17.3148403,-26.8922100,-172.5892029,-74.2303772,72.0064468,-0.1662744,-23.6088200
600000000,-0.2106865,-18.8233299,-24.7708397,-173.2572937,-73.8275223,74.0543365,-0.2044143,-25.8585205
650000000,-0.2190542,-20.3693810,-22.7967701,-174.5146942,-72.9050369,71.7256165,-0.2388681,-28.1903706
700000000,-0.2284596,-21.9683609,-20.8782101,-176.4729004,-73.3486099,65.9630890,-0.2917064,-30.6436901
750000000,-0.2338427,-23.6292706,-18.9848003,-179.7086029,-72.5703201,72.0597229,-0.3535288,-33.0996895
800000000,-0.2470616,-25.2709694,-17.5627098,175.2440948,-74.2357330,88.8958130,-0.4210405,-35.4792404
850000000,-0.2592828,-26.9171200,-16.4994202,171.7008972,-70.1953964,80.1281662,-0.4663754,-37.6781998
900000000,-0.2653722,-28.5800800,-15.6729698,172.8052979,-69.4690781,61.4359589,-0.4826506,-40.0411682
950000000,-0.2722968,-30.0425301,-14.0369997,172.2505951,-70.5907898,60.1024094,-0.5506258,-42.4212608
1000000000,-0.2945064,-31.5156708,-12.4776297,170.0774994,-71.4207611,62.0979805,-0.6330785,-44.8058815
1050000000,-0.3001999,-32.9507713,-11.0940199,167.1766052,-72.2118378,62.4389000,-0.7311947,-47.1867905
1100000000,-0.3151760,-34.4568405,-9.7199688,164.4120941,-71.8350830,62.9119606,-0.8422882,-49.7456512
1150000000,-0.3313031,-36.0983200,-8.3950109,160.3222961,-72.2236862,74.6668091,-0.9710587,-52.3549805
1200000000,-0.3492392,-37.7470093,-7.1694961,156.4337006,-72.7036972,81.8531265,-1.1149610,-55.0530891
1250000000,-0.3703111,-39.5861511,-5.9959288,152.1132965,-71.3116226,87.3304825,-1.2798980,-57.8413506
1300000000,-0.3848160,-41.2615509,-4.8485579,147.6437988,-70.8890915,90.6792679,-1.4503840,-60.4994011
1350000000,-0.4061387,-42.9403191,-3.7734330,142.6436005,-69.7749405,99.5866470,-1.6454610,-63.1353302
1400000000,-0.4341941,-44.5036201,-2.7560151,137.7709045,-67.9738235,102.8184967,-1.8623610,-65.6041031
1450000000,-0.4496425,-46.0841408,-1.7401780,132.6280060,-66.4751816,102.6048965,-2.0982339,-68.0346603
1500000000,-0.4648866,-47.5305901,-0.7541329,126.9179001,-64.7126923,103.7325974,-2.3468821,-70.4000320
1550000000,-0.4972246,-49.1510506,0.1465476,121.0102005,-63.4894104,100.9804993,-2.6238661,-72.7963104
1600000000,-0.5254355,-50.9529305,1.0173470,114.7589035,-61.6397781,95.3422470,-2.9197371,-75.0983429
1650000000,-0.5573866,-52.7538910,1.8408430,108.0588989,-60.2477608,91.7002182,-3.2201419,-77.4324570
1700000000,-0.5917400,-54.5820313,2.5616529,100.9639969,-58.8383598,84.0507813,-3.5328081,-79.6989517
1750000000,-0.6343736,-56.3564987,3.2241440,93.7119217,-57.4043884,77.0604706,-3.8390329,-82.0404968
1800000000,-0.6680028,-58.0800781,3.8395360,86.1685562,-56.1087112,69.0050735,-4.1648750,-84.4599228
1850000000,-0.7130771,-59.6256714,4.3803720,78.2201996,-54.6695290,59.6138611,-4.5096898,-87.1352615
1900000000,-0.7517160,-61.1550217,4.8505669,70.0215836,-53.5334015,50.4462090,-4.9239430,-90.1850662
1950000000,-0.7974734,-62.7377014,5.2528620,61.3126183,-52.1048584,39.7538605,-5.4211502,-93.7072601
2000000000,-0.8535782,-64.3031006,5.5624509,51.8869514,-50.7577286,27.0275192,-6.1421199,-97.8398666
2050000000,-0.9135895,-66.0182724,5.7224660,41.6548996,-49.4323006,12.2688503,-7.1965728,-102.0019989
2100000000,-0.9978426,-67.6851273,5.6513119,31.1878510,-48.4328308,-1.2800710,-8.7382317,-105.8916016
2150000000,-1.0741670,-69.3350525,5.3713369,19.9905796,-47.2525902,-17.5792904,-11.2549400,-107.0158005
2200000000,-1.1606170,-70.8679810,4.7324519,8.8596001,-46.7652817,-32.5884209,-14.8991203,-97.6788635
2250000000,-1.2185630,-72.1916885,3.7821820,-1.3269939,-46.1029587,-49.3239288,-17.5847301,-59.9264717
2300000000,-1.2848350,-73.6131363,2.4809570,-10.4885502,-45.9544411,-66.1820068,-13.8020401,-27.3082600
2350000000,-1.3285021,-74.7802963,0.8950968,-16.9821396,-45.9905281,-80.1554794,-10.0365896,-22.2255993
2400000000,-1.3697079,-76.1864090,-0.8279923,-20.7882404,-46.1091003,-94.1230621,-7.5273070,-25.4291592
2450000000,-1.4126340,-77.4768372,-2.5416400,-21.2469006,-46.3462296,-105.8203964,-5.8539128,-30.9022102
2500000000,-1.4463390,-79.0052872,-4.0439768,-18.7778091,-46.6539917,-116.5835037,-4.7022810,-37.1585693
2550000000,-1.5049260,-80.6247711,-5.1642962,-14.5746202,-46.8697395,-126.6384964,-3.9079840,-42.9729195
2600000000,-1.5506850,-82.2510223,-5.9561539,-9.9662647,-47.3220901,-134.2947998,-3.3109281,-48.7083206
2650000000,-1.6097180,-83.7527313,-6.4348130,-5.6782098,-47.8750000,-141.8444061,-2.9043691,-54.1157608
2700000000,-1.6508420,-85.3404312,-6.7290311,-2.5075991,-47.8283882,-147.8323059,-2.5771301,-59.0183296
2750000000,-1.6996250,-86.9570618,-7.0180750,-0.3248347,-48.2093010,-152.6013031,-2.3410370,-63.8133698
2800000000,-1.7584510,-88.4279327,-7.3396721,1.5961580,-48.3689308,-159.4656982,-2.1506319,-68.0371017
2850000000,-1.8192689,-90.0369873,-7.6724210,2.9814639,-48.6881218,-164.1809998,-2.0058830,-72.3663635
2900000000,-1.8925840,-91.5430069,-8.0952301,4.1221080,-48.6774597,-167.0424042,-1.9099890,-76.2515335
2950000000,-1.9585429,-93.2701187,-8.6362228,5.6673679,-49.0670090,-171.8321075,-1.8404180,-80.1152191
3000000000,-2.0475481,-94.8694000,-9.2594194,7.9494090,-49.4965591,-171.8466034,-1.8143620,-83.8213272
3050000000,-2.1357059,-96.5120392,-9.9609308,10.8955498,-49.3434715,-176.3556061,-1.7928320,-87.4749069
3100000000,-2.2345181,-98.2723694,-10.7752600,15.1487198,-49.4674301,-179.5453033,-1.8073530,-91.1901016
3150000000,-2.3345470,-99.9885406,-11.5778103,21.1106396,-49.7761803,178.8363037,-1.8206730,-94.7040482
3200000000,-2.4297180,-101.8600998,-12.3215904,29.0364094,-49.7242203,177.5614014,-1.8638099,-98.2959137
3250000000,-2.5181460,-103.5334015,-12.9239902,39.6396408,-50.0782013,176.4765015,-1.9092990,-101.5926971
3300000000,-2.6372480,-105.4581985,-13.2711096,52.6996307,-50.3161583,178.2366028,-1.9591600,-105.0158997
3350000000,-2.7729571,-107.2555008,-13.0214500,67.7196732,-49.9585495,177.5216064,-2.0314820,-108.0823975
3400000000,-2.9180951,-109.3318024,-12.1910896,82.8126068,-49.9599609,-177.1535034,-2.1059330,-111.3638000
3450000000,-3.0987220,-111.3203964,-10.5794802,96.9136276,-49.3944397,174.7241974,-2.2032220,-114.4525986
3500000000,-3.3007901,-113.4934998,-8.4736338,108.2546997,-49.7719307,179.5164948,-2.3009760,-117.4607010
3550000000,-3.5301881,-115.7900009,-5.9363308,115.3533020,-49.1455688,177.5816040,-2.4146991,-120.4755020
3600000000,-3.8085020,-118.0864029,-3.3374801,118.2054977,-49.0917511,178.0003967,-2.5090539,-123.4645004
3650000000,-4.1109128,-120.1849976,-0.7905197,117.0673981,-48.4064484,178.2982941,-2.6221800,-126.6023026
3700000000,-4.4584899,-121.7935028,1.4953769,112.4979019,-47.9915390,176.9888000,-2.7208631,-129.6289978
3750000000,-4.8015728,-122.7423019,3.3615079,105.2055969,-47.3920212,175.9411011,-2.8413780,-132.8025970
3800000000,-5.0770102,-123.2331009,4.7949891,96.9942703,-47.3379898,173.2615967,-2.9696190,-135.8112030
3850000000,-5.2969351,-123.6008987,5.8485641,88.8738403,-46.8619919,172.0899048,-3.1211591,-139.0552979
3900000000,-5.4546900,-124.0510025,6.6358790,81.0967636,-46.6615601,168.6905975,-3.2944310,-142.1443024
3950000000,-5.6119409,-124.9285965,7.1842861,74.0379791,-46.7319794,167.6437988,-3.4769189,-145.4060059
4000000000,-5.7573891,-126.2718964,7.6366749,67.9320679,-46.6944199,167.5569000,-3.6934760,-148.6752930
4025000000,-5.8391528,-127.0243988,7.8310370,64.9299469,-46.5481911,166.4356995,-3.8057430,-150.4382019
4050000000,-5.8900118,-127.8573990,8.0611944,62.4474182,-46.5625305,165.4929962,-3.8809171,-151.8898926
4075000000,-5.9675460,-128.6445007,8.1835861,59.9860497,-46.3435097,166.0845032,-4.0115170,-153.5686035
4100000000,-6.0395780,-129.5274048,8.3775320,57.3482285,-46.3095589,166.6871033,-4.0928202,-155.1752930
4125000000,-6.1177888,-130.3916931,8.5342884,55.1499710,-46.0466995,165.9620972,-4.2048469,-156.9521027
4150000000,-6.1891122,-131.1894989,8.6447172,52.8061905,-46.2132187,165.1083984,-4.2744360,-158.3822937
4175000000,-6.2600479,-131.9589996,8.8128252,50.5196190,-45.8941383,166.3224945,-4.4051328,-160.1083984
4200000000,-6.3527489,-132.7454071,8.9535866,48.8203316,-45.6747894,164.8562012,-4.4940848,-161.6627045
4225000000,-6.4584990,-133.5437012,9.0705538,46.5475006,-45.5512695,164.9615021,-4.6048470,-163.2839050
4250000000,-6.5381899,-134.2391968,9.2254419,44.4373589,-45.5821495,164.4015961,-4.6996112,-164.7462006
4275000000,-6.6631169,-134.9918060,9.3545122,42.7617912,-45.5308609,163.9400024,-4.8367739,-166.2756042
4300000000,-6.7854199,-135.7223969,9.4734974,40.6779099,-45.3044701,163.8677979,-4.9237809,-167.8291016
4325000000,-6.9231110,-136.6208954,9.6174927,38.8850517,-45.2076912,164.6629028,-5.0545568,-169.2778015
4350000000,-7.0683632,-137.2543945,9.7138395,37.2323799,-44.7359505,165.5007935,-5.1532688,-170.7393951
4375000000,-7.2149601,-138.0877075,9.8411207,35.2709999,-44.6333809,163.1869965,-5.2893510,-172.3527985
4400000000,-7.3736310,-139.0124054,10.0023499,33.6149597,-44.5179100,163.7901001,-5.3760538,-173.9902039
4425000000,-7.5170789,-139.9414978,10.0802498,31.9369392,-44.5339699,163.1651001,-5.5203700,-175.4660950
4450000000,-7.6662860,-140.8751984,10.2187700,30.0609894,-44.2791595,162.4369965,-5.6204720,-177.0532990
4475000000,-7.8420272,-142.1181946,10.3524704,28.3071194,-44.1971397,163.2521057,-5.7590189,-178.9055939
4500000000,-7.9921060,-143.2281036,10.4227800,26.6788902,-43.8442688,163.2612000,-5.8415890,179.4454956
4525000000,-8.1419220,-144.1042023,10.5676003,24.8225098,-43.5605507,161.0821991,-5.9809718,177.9219971
4550000000,-8.3003120,-145.1143951,10.6861601,23.2556496,-43.5163994,159.9295959,-6.0745330,176.1784973
4575000000,-8.4495258,-146.2756958,10.7602100,21.5449009,-43.4573212,159.1645050,-6.1816330,174.5798035
4600000000,-8.6130114,-147.2588959,10.8593102,19.7428799,-43.4018707,160.4317932,-6.2609491,172.9483032
4625000000,-8.7747860,-148.0737000,10.9664898,18.3282108,-43.2117805,157.8291931,-6.3819108,171.5211945
4650000000,-8.9619961,-149.0964050,11.0403299,16.6186295,-42.9894981,158.9680023,-6.4700780,169.7633972
4675000000,-9.1398449,-149.9830017,11.1440201,14.9826803,-42.7843285,157.6625061,-6.5739398,168.3329926
4700000000,-9.3291845,-150.8103027,11.2510900,13.7177896,-42.7298088,156.4008942,-6.6476789,166.7689972
4725000000,-9.5390339,-151.5805054,11.3084898,11.9108696,-42.5448303,154.8441925,-6.7810378,165.3159943
4750000000,-9.7564812,-152.6558990,11.4244804,10.4003296,-42.3610497,154.1163025,-6.8682480,163.7064972
4775000000,-9.9770098,-153.6192017,11.4897499,8.9433737,-42.1899910,154.4109955,-6.9953251,162.4600983
4800000000,-10.2233000,-154.6728973,11.5773497,7.1990590,-42.2297897,153.2704010,-7.0968342,160.8838959
4825000000,-10.4973402,-155.7817993,11.6698704,5.7664990,-42.0435219,153.0630035,-7.2369690,159.3784027
4850000000,-10.7383299,-157.2830048,11.7329397,4.4108109,-41.8101883,151.8480988,-7.3314228,157.8031006
4875000000,-10.9872198,-158.6038055,11.8198900,2.7440791,-41.7677498,151.4400024,-7.4548850,156.4362030
4900000000,-11.2566204,-159.7449036,11.9207096,1.2205451,-41.5127411,150.7534027,-7.5659928,154.6333008
4925000000,-11.4738102,-161.3005066,11.9612303,-0.3178340,-41.3653793,149.8506012,-7.6753950,153.0532990
4950000000,-11.6655598,-163.1968994,12.0494804,-2.0622110,-41.4794998,148.4797058,-7.7297368,151.2317963
4975000000,-11.9545803,-164.5175934,12.1181803,-3.3425131,-41.2447205,149.4886932,-7.8771539,149.7424011
5000000000,-12.1596699,-165.8544006,12.1567202,-4.9170480,-41.1366806,147.3341980,-7.9345951,147.8527069
5025000000,-12.3471498,-167.3972015,12.2283297,-6.4914961,-41.0200691,146.0872040,-8.0080843,146.3455963
5050000000,-12.5768604,-168.4326019,12.2978802,-7.8085461,-40.8259201,145.4261932,-8.0827322,144.8766937
5075000000,-12.8022404,-169.6797028,12.3398600,-9.3431759,-40.7785797,144.6401062,-8.1777430,143.4333038
5100000000,-13.0715799,-171.0821075,12.4036903,-10.7814703,-40.6765289,144.4019928,-8.2428341,141.7906036
5125000000,-13.2965202,-172.2117004,12.4586496,-12.0583296,-40.4735603,143.2487946,-8.3016911,140.6914978
5150000000,-13.5786600,-173.3668060,12.4977503,-13.6286001,-40.4400597,141.7006989,-8.3704090,139.3471069
5175000000,-13.9074097,-175.1349945,12.5577898,-15.0060196,-40.4494514,141.3934021,-8.4598236,138.0446014
5200000000,-14.2194405,-176.6605072,12.5993404,-16.2364197,-40.2676506,141.1813965,-8.5399456,136.6266937
5225000000,-14.5095901,-177.8312988,12.6483002,-17.7459908,-40.1738014,140.5585022,-8.6237144,135.6381073
5250000000,-14.8699598,-179.2507019,12.7279797,-19.0483799,-39.9376106,138.8515015,-8.7312708,134.2272949
5275000000,-15.1593904,178.2740021,12.7434397,-20.3641205,-39.9780693,137.8769073,-8.8342190,132.7422943
5300000000,-15.4910603,176.3251038,12.7959204,-21.9078007,-39.9139099,137.3657074,-8.9189320,131.2868042
5325000000,-15.8081398,174.1967010,12.8581495,-23.1687298,-39.8417015,136.5074005,-9.0129805,130.1436005
5350000000,-16.0995293,171.9001007,12.8750296,-24.4776096,-39.7105713,135.9895020,-9.1522541,128.5859985
5375000000,-16.3406105,169.7097015,12.9355202,-25.9532909,-39.6057091,135.3094940,-9.2497110,127.1100998
5400000000,-16.5555897,167.6710052,12.9720898,-27.2608204,-39.5127716,133.9723053,-9.3088322,125.4135971
5425000000,-16.8020306,165.2453003,12.9953899,-28.5363007,-39.4906807,133.3605042,-9.3686676,124.0386963
5450000000,-17.0419502,163.2698059,13.0354500,-30.0515003,-39.4156914,132.2713928,-9.4208183,122.3676987
5475000000,-17.3381500,161.5043030,13.0693197,-31.0783100,-39.3411903,133.7167969,-9.5138521,120.9957962
5500000000,-17.5262203,160.2749023,13.0961905,-32.5518913,-39.1552505,130.9868011,-9.5251389,119.6162033
5525000000,-17.8069096,158.5077057,13.1394100,-33.8622284,-39.0668411,130.2913055,-9.5695648,118.4620972
5550000000,-17.9950294,156.2736969,13.1625299,-35.0782700,-39.0313911,129.2886963,-9.6066780,117.1970978
5575000000,-18.2731495,154.6542969,13.1844702,-36.4062614,-39.0153885,128.5149994,-9.6423111,116.1554031
5600000000,-18.7107296,152.5467072,13.2248001,-37.6292610,-38.9788017,127.6092987,-9.7036972,115.0410004
5625000000,-19.0932693,150.0104065,13.2421999,-38.7891006,-38.8727112,126.8044968,-9.7511883,114.1763000
5650000000,-19.4155807,147.6101074,13.2612200,-40.1288681,-38.8208809,126.2664032,-9.8525810,113.2303009
5675000000,-19.8223801,145.0648041,13.3183498,-41.3083687,-38.7605591,125.2799988,-9.9212255,112.2377014
5700000000,-20.2610397,141.9808044,13.3212500,-42.4790382,-38.7348404,125.2351990,-10.0423403,111.0400009
5725000000,-20.4187202,138.4463959,13.3691301,-43.8362503,-38.5358391,124.1001968,-10.0810299,110.1433029
5750000000,-20.7890701,134.6363068,13.3922005,-44.9219818,-38.6284294,123.4899979,-10.2104101,108.9281006
5775000000,-20.9883709,131.1746063,13.3979902,-46.1633606,-38.4610100,122.1591034,-10.2800598,107.7922974
5800000000,-21.1499405,126.7912979,13.4315996,-47.4406090,-38.4698410,121.3600998,-10.3759298,106.2648010
5825000000,-21.2735195,123.5468979,13.4700804,-48.4997406,-38.4995499,121.3956985,-10.4534903,105.1081009
5850000000,-21.4486408,121.5581970,13.4705601,-49.6676216,-38.3656616,120.7627029,-10.5421801,104.0150986
5875000000,-21.6246891,118.4813995,13.5089903,-51.0372696,-38.2683792,119.7738037,-10.5882502,102.8556976
