Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.0000,-1.041641E+001,-7.216174E+001,-4.378691E-001,1.761471E+001,-4.617154E-001,1.763076E+001,-1.031534E+001,-7.253530E+001
15.0000,-1.358974E+001,-7.736534E+001,-2.282087E-001,1.178225E+001,-2.277148E-001,1.177830E+001,-1.359050E+001,-7.745698E+001
20.0000,-1.590183E+001,-8.045900E+001,-1.464154E-001,8.714664E+000,-1.477226E-001,8.710214E+000,-1.593275E+001,-8.035947E+001
25.0000,-1.776453E+001,-8.279471E+001,-1.068834E-001,6.818216E+000,-1.065594E-001,6.815969E+000,-1.781410E+001,-8.249162E+001
30.0000,-1.936983E+001,-8.436661E+001,-8.455203E-002,5.512300E+000,-8.561337E-002,5.505918E+000,-1.940155E+001,-8.405862E+001
35.0000,-2.074869E+001,-8.528403E+001,-7.125324E-002,4.535315E+000,-7.310435E-002,4.536499E+000,-2.075926E+001,-8.503391E+001
40.0000,-2.193071E+001,-8.556718E+001,-6.331297E-002,3.781226E+000,-6.552278E-002,3.781874E+000,-2.190265E+001,-8.563593E+001
45.0000,-2.291619E+001,-8.559363E+001,-5.823680E-002,3.164215E+000,-5.982618E-002,3.167856E+000,-2.288985E+001,-8.572693E+001
50.0000,-2.370750E+001,-8.579935E+001,-5.514796E-002,2.593311E+000,-6.257588E-002,2.693924E+000,-2.371875E+001,-8.574183E+001
55.0000,-2.441463E+001,-8.620906E+001,-5.312986E-002,2.209158E+000,-5.301367E-002,2.208880E+000,-2.440144E+001,-8.591895E+001
60.0000,-2.504083E+001,-8.653812E+001,-5.191749E-002,1.834746E+000,-4.904620E-002,1.842569E+000,-2.514314E+001,-8.613202E+001
65.0000,-2.570917E+001,-8.696539E+001,-4.957141E-002,1.495230E+000,-5.031469E-002,1.491150E+000,-2.570315E+001,-8.610582E+001
70.0000,-2.634984E+001,-8.725323E+001,-4.837305E-002,1.194858E+000,-4.922614E-002,1.188717E+000,-2.626693E+001,-8.641438E+001
75.0000,-2.693523E+001,-8.700011E+001,-4.925653E-002,9.119086E-001,-4.869373E-002,9.376205E-001,-2.679281E+001,-8.665842E+001
80.0000,-2.749433E+001,-8.709846E+001,-4.682459E-002,6.603815E-001,-4.767288E-002,6.643910E-001,-2.732233E+001,-8.686908E+001
85.0000,-2.795385E+001,-8.676735E+001,-4.617167E-002,4.285443E-001,-4.788344E-002,4.223390E-001,-2.778422E+001,-8.660702E+001
90.0000,-2.833117E+001,-8.657706E+001,-4.633470E-002,2.047682E-001,-4.779967E-002,2.063490E-001,-2.821753E+001,-8.641172E+001
95.0000,-2.864829E+001,-8.651055E+001,-4.664313E-002,6.085842E-004,-4.764930E-002,-4.812887E-003,-2.858321E+001,-8.596931E+001
100.0000,-2.893309E+001,-8.679502E+001,-4.632757E-002,-1.996068E-001,-4.748027E-002,-2.040145E-001,-2.889836E+001,-8.572707E+001
110.0000,-2.950415E+001,-8.699957E+001,-4.629887E-002,-5.684852E-001,-4.744994E-002,-5.704603E-001,-2.944222E+001,-8.606013E+001
120.0000,-3.012437E+001,-8.689465E+001,-4.617172E-002,-9.056456E-001,-4.800451E-002,-9.109447E-001,-2.994389E+001,-8.666730E+001
130.0000,-3.052800E+001,-8.649723E+001,-4.665935E-002,-1.227399E+000,-4.831528E-002,-1.227345E+000,-3.047379E+001,-8.702278E+001
140.0000,-3.082784E+001,-8.607938E+001,-4.748203E-002,-1.526088E+000,-4.862815E-002,-1.528175E+000,-3.082199E+001,-8.653361E+001
150.0000,-3.107416E+001,-8.561724E+001,-4.598843E-002,-1.819464E+000,-4.887655E-002,-1.820181E+000,-3.112725E+001,-8.638400E+001
160.0000,-3.138080E+001,-8.546828E+001,-4.983153E-002,-2.095716E+000,-5.007258E-002,-2.096409E+000,-3.131420E+001,-8.628293E+001
170.0000,-3.163672E+001,-8.486512E+001,-4.996138E-002,-2.359643E+000,-5.098559E-002,-2.361214E+000,-3.150653E+001,-8.643692E+001
180.0000,-3.174098E+001,-8.514479E+001,-5.138958E-002,-2.620407E+000,-5.204767E-002,-2.625716E+000,-3.168259E+001,-8.607500E+001
190.0000,-3.180211E+001,-8.578813E+001,-5.164998E-002,-2.875818E+000,-5.260557E-002,-2.876748E+000,-3.175220E+001,-8.622591E+001
200.0000,-3.195053E+001,-8.697198E+001,-5.423231E-002,-3.119082E+000,-5.475023E-002,-3.132026E+000,-3.181390E+001,-8.657903E+001
210.0000,-3.205073E+001,-8.755828E+001,-5.483097E-002,-3.367683E+000,-5.503111E-002,-3.364259E+000,-3.182722E+001,-8.694608E+001
220.0000,-3.200163E+001,-8.801139E+001,-5.565338E-002,-3.605026E+000,-5.663392E-002,-3.607976E+000,-3.186593E+001,-8.760338E+001
230.0000,-3.199964E+001,-8.861663E+001,-5.731051E-002,-3.839616E+000,-5.762589E-002,-3.839010E+000,-3.185688E+001,-8.771679E+001
240.0000,-3.203138E+001,-8.894971E+001,-5.748253E-002,-4.065086E+000,-5.870509E-002,-4.071010E+000,-3.180312E+001,-8.777723E+001
250.0000,-3.201933E+001,-8.912843E+001,-5.764685E-002,-4.291958E+000,-6.013868E-002,-4.298883E+000,-3.183409E+001,-8.868142E+001
260.0000,-3.187750E+001,-8.894891E+001,-6.123599E-002,-4.519441E+000,-6.177034E-002,-4.525737E+000,-3.163422E+001,-8.906249E+001
270.0000,-3.174466E+001,-8.954053E+001,-6.208751E-002,-4.749529E+000,-6.326583E-002,-4.747831E+000,-3.164549E+001,-9.020312E+001
280.0000,-3.172809E+001,-9.026595E+001,-6.306719E-002,-4.965955E+000,-6.427336E-002,-4.966429E+000,-3.155448E+001,-9.044785E+001
290.0000,-3.167165E+001,-9.074871E+001,-6.387218E-002,-5.185664E+000,-6.562088E-002,-5.194721E+000,-3.147803E+001,-9.154716E+001
300.0000,-3.156589E+001,-9.132943E+001,-6.658702E-002,-5.401442E+000,-6.887446E-002,-5.406248E+000,-3.142930E+001,-9.198228E+001
310.0000,-3.145641E+001,-9.190620E+001,-6.687453E-002,-5.612181E+000,-6.843454E-002,-5.619549E+000,-3.133254E+001,-9.290204E+001
320.0000,-3.144202E+001,-9.285341E+001,-6.746942E-002,-5.820789E+000,-6.977521E-002,-5.835742E+000,-3.129655E+001,-9.306312E+001
330.0000,-3.131602E+001,-9.338367E+001,-6.949256E-002,-6.047871E+000,-7.093028E-002,-6.049232E+000,-3.123354E+001,-9.346773E+001
340.0000,-3.122723E+001,-9.378133E+001,-7.036547E-002,-6.256202E+000,-7.123817E-002,-6.258760E+000,-3.115720E+001,-9.400609E+001
350.0000,-3.108844E+001,-9.457584E+001,-7.093939E-002,-6.462543E+000,-7.332572E-002,-6.478248E+000,-3.102941E+001,-9.583457E+001
360.0000,-3.091627E+001,-9.555988E+001,-7.317664E-002,-6.675374E+000,-7.442857E-002,-6.676841E+000,-3.085130E+001,-9.603089E+001
370.0000,-3.080366E+001,-9.624551E+001,-7.522900E-002,-6.885425E+000,-7.589319E-002,-6.890606E+000,-3.069783E+001,-9.708746E+001
380.0000,-3.065290E+001,-9.704797E+001,-7.639402E-002,-7.090211E+000,-7.692755E-002,-7.093960E+000,-3.054407E+001,-9.835521E+001
390.0000,-3.048998E+001,-9.780225E+001,-7.794588E-002,-7.310148E+000,-7.889666E-002,-7.306568E+000,-3.038347E+001,-9.918331E+001
400.0000,-3.040639E+001,-9.920569E+001,-7.917006E-002,-7.509893E+000,-7.965432E-002,-7.509737E+000,-3.019960E+001,-9.979046E+001
410.0000,-3.032333E+001,-9.988497E+001,-8.081452E-002,-7.712080E+000,-8.173072E-002,-7.718286E+000,-3.008370E+001,-1.006091E+002
420.0000,-3.020370E+001,-1.006992E+002,-8.113509E-002,-7.919762E+000,-8.208919E-002,-7.925084E+000,-3.001998E+001,-1.011654E+002
430.0000,-3.007947E+001,-1.013889E+002,-8.267382E-002,-8.124930E+000,-8.354402E-002,-8.127854E+000,-2.990053E+001,-1.018106E+002
440.0000,-2.996024E+001,-1.022801E+002,-8.330852E-002,-8.327188E+000,-8.470704E-002,-8.331398E+000,-2.981846E+001,-1.024486E+002
450.0000,-2.981149E+001,-1.028904E+002,-8.457936E-002,-8.526213E+000,-8.547576E-002,-8.537542E+000,-2.973723E+001,-1.038183E+002
460.0000,-2.973754E+001,-1.034744E+002,-8.590011E-002,-8.736127E+000,-8.785004E-002,-8.737816E+000,-2.962078E+001,-1.039862E+002
