Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.031483,-2.104955,-46.167999,-101.691208,-49.002945,26.941851,0.194705,-2.68616
142450000,-0.75401,-25.694456,-38.713104,139.739639,-66.878151,-77.032211,-0.20077,-33.150471
274900000,-1.411043,-47.35463,-10.96299,167.391022,-54.776138,53.007393,-1.30571,-65.206543
407350000,-3.456663,-68.6082,-9.474029,84.219299,-69.467422,-93.085732,-1.702034,-86.114273
539800000,-4.063584,-82.546425,7.815765,90.193619,-62.900898,0.347679,-4.141397,-115.310539
672250000,-5.535075,-100.161751,14.899757,42.86348,-57.740009,-145.779999,-6.418755,-129.229462
804700000,-7.431517,-115.788811,18.673157,6.010965,-72.583786,-179.735764,-7.628044,-139.015656
937150000,-9.69067,-128.209152,21.106825,-23.103172,-60.254776,-157.00853,-8.457014,-149.491669
1069600000,-12.107341,-136.002731,22.798246,-47.027962,-64.254112,143.437729,-9.195823,-159.66687
1202050000,-14.378559,-139.781754,23.987186,-67.550018,-68.05722,146.496338,-9.952691,-169.030487
1334500000,-16.171476,-138.778778,24.871885,-85.29039,-71.585129,-57.369907,-10.765538,-176.886444
1466950000,-17.465322,-137.075638,25.543678,-101.063789,-70.832588,71.494278,-11.537037,175.32402
1599400000,-18.046705,-135.625946,26.045748,-115.018211,-65.513191,59.633202,-12.292973,168.483261
1731850000,-18.458132,-134.507904,26.435562,-127.616081,-74.397964,-142.78624,-12.983531,161.845764
1864300000,-18.600222,-135.515915,26.73122,-138.99588,-77.140053,-123.386238,-13.516323,155.690033
1996750000,-18.868938,-137.906555,26.964811,-149.553741,-62.103924,136.288559,-14.133236,150.67868
2129200000,-18.918024,-139.952759,27.142141,-159.364624,-69.655411,-152.216141,-14.612883,146.85965
2261650000,-19.177725,-142.522278,27.310644,-168.389023,-63.287598,69.334221,-15.171147,143.108841
2394100000,-19.281706,-145.862961,27.440777,-176.829544,-68.31192,37.811249,-15.735444,139.40712
2526550000,-19.432922,-148.543381,27.546734,175.160019,-62.231232,105.302895,-16.395744,136.395874
2659000000,-19.623602,-152.63269,27.667099,167.593658,-69.030571,-63.756111,-16.806131,133.128967
2791450000,-19.710306,-154.95137,27.770971,160.218826,-66.6464,-61.074673,-17.496103,129.690674
2923900000,-19.941401,-157.528549,27.847736,153.01622,-62.773724,-46.168186,-17.944927,126.458038
3056350000,-20.243446,-160.299454,27.900675,146.410751,-63.229465,104.435181,-18.467957,122.264992
3188800000,-20.299128,-162.470352,27.984251,139.72377,-64.686661,115.181129,-18.910765,118.299873
3321250000,-20.612587,-164.923187,28.05765,133.376343,-63.4175,138.562515,-19.075388,114.051178
3453700000,-20.731018,-167.016464,28.107754,127.157303,-63.215679,117.492897,-19.555634,111.230301
3586150000,-20.865395,-169.743866,28.18502,121.011459,-63.105118,47.010658,-19.767521,110.138367
3718600000,-21.059914,-171.481827,28.211218,115.036331,-79.839699,98.963562,-20.312859,108.523834
3851050000,-21.32593,-172.683365,28.273605,109.07029,-77.756172,16.499346,-20.887695,106.399048
3983500000,-21.478848,-174.322052,28.315613,103.421654,-70.454346,156.455811,-21.542091,104.558571
4115950000,-21.341825,-172.292664,28.341528,97.771927,-61.29855,100.0718,-21.989042,101.428352
