Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-15.6475600,-12.5827500,14.9381800,-178.4571000,-18.5422100,3.3831550,-12.9718000,24.1820400
20000000,-16.0307800,-9.4402310,15.0156000,178.7115000,-18.4577900,-0.5947863,-13.1494000,8.6247300
30000000,-16.0627400,-8.4161140,15.0391800,176.7742000,-18.4509700,-2.7091190,-13.1024400,2.4756520
40000000,-15.9796800,-8.4995200,15.0401300,175.1121000,-18.4712800,-4.4209210,-13.0571800,-1.6105160
50000000,-15.9702300,-8.4702520,15.0051800,173.9775000,-18.5197100,-5.4790310,-13.0796100,-4.1436000
60000000,-15.9502700,-9.3323020,15.0043300,172.4941000,-18.5223400,-6.9132450,-13.0882600,-6.8109990
70000000,-15.8702000,-9.7637680,15.0067000,171.0203000,-18.5205700,-8.3108020,-12.9718400,-9.0121050
80000000,-15.7972000,-10.6755300,15.0066300,169.6046000,-18.5183400,-9.6295960,-12.8686100,-11.0903700
90000000,-15.7182900,-11.4638100,15.0054800,168.1535000,-18.5199500,-10.9915400,-12.7853800,-13.1969900
100000000,-15.6546900,-12.4143200,15.0016500,166.7896000,-18.5300700,-12.2952200,-12.7502300,-15.0568600
100000000,-15.6303400,-12.3839100,15.0019000,166.7865000,-18.5301700,-12.2930300,-12.7456400,-15.0143000
150000000,-15.3017900,-16.3330500,14.9875800,159.8127000,-18.5448600,-18.7363800,-12.5220400,-23.8930600
200000000,-14.8703300,-18.4868800,14.8896700,152.2516000,-18.6402700,-25.8819000,-12.7360300,-37.0486700
250000000,-15.3422700,-27.9874800,14.9374200,147.4977000,-18.6094000,-30.0990000,-13.0042300,-34.2685900
300000000,-15.2382600,-29.2234000,14.8857300,139.8181000,-18.6453900,-37.2603500,-13.1951700,-48.3399500
350000000,-15.7680100,-39.3339600,14.9106500,134.8147000,-18.6325400,-41.8253600,-13.6401600,-47.4856800
400000000,-15.9103800,-41.6730300,14.9608800,127.4881000,-18.5712800,-48.7245000,-13.1653400,-58.8768100
450000000,-15.6491400,-45.6814500,14.9093300,120.2592000,-18.6290200,-55.4102300,-13.1636600,-69.7990500
500000000,-15.4151500,-55.2960700,14.7951800,114.6322000,-18.7433000,-60.5764800,-13.8952700,-74.1070200
550000000,-15.3592100,-58.7514200,14.8746700,107.5383000,-18.6731400,-67.2017400,-13.0490700,-82.3084400
600000000,-14.7250900,-65.7957800,14.7076400,100.8428000,-18.8309300,-73.3490000,-13.3823500,-92.3290400
