Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-17.2454100,-16.9007800,15.3252100,-178.2544000,-18.7610500,3.1128950,-14.4722100,26.6717100
20000000,-18.0391700,-11.7736300,15.4252200,178.9120000,-18.6792100,-0.6547805,-14.7760800,10.0024700
30000000,-18.1674400,-9.7721110,15.4572300,176.9668000,-18.6753900,-2.6987420,-14.7843400,3.4156210
40000000,-18.1861600,-9.2094000,15.4625100,175.3008000,-18.6930200,-4.3609060,-14.7576400,-0.8673973
50000000,-18.2481500,-8.6961590,15.4280000,174.1990000,-18.7379200,-5.3453760,-14.8108500,-3.5528830
60000000,-18.2639000,-9.2073010,15.4289800,172.7442000,-18.7392100,-6.7082690,-14.8822300,-6.2889150
70000000,-18.2844900,-9.2871480,15.4328900,171.2894000,-18.7404300,-8.0677190,-14.8380700,-8.5824610
80000000,-18.2798400,-9.7362020,15.4349900,169.8931000,-18.7414300,-9.3242920,-14.8058700,-10.7546700
90000000,-18.2541100,-10.2103900,15.4359600,168.4616000,-18.7406100,-10.6510600,-14.7751200,-12.9834100
100000000,-18.2613200,-10.9554000,15.4330600,167.1058000,-18.7457300,-11.9149100,-14.7794800,-14.9735100
100000000,-18.2132100,-10.8026200,15.4335500,167.1030000,-18.7473700,-11.9125800,-14.7726000,-14.9165000
150000000,-18.1097300,-13.6701300,15.4215900,160.1675000,-18.7548800,-18.2775800,-14.7067500,-25.0420400
200000000,-17.1591000,-15.1219500,15.2490800,152.6733000,-18.9249500,-25.2837400,-15.3374800,-41.1505400
250000000,-17.8039000,-25.2395400,15.3556300,147.7765000,-18.8255000,-29.6416500,-14.9783900,-36.8561700
300000000,-16.9992300,-27.4373100,15.2205200,140.5270000,-18.9526800,-36.3474900,-15.3372100,-51.1230300
350000000,-17.5665200,-36.8464700,15.3190700,135.3390000,-18.8579200,-41.0437600,-14.9476300,-48.9797300
400000000,-17.3550900,-38.9515300,15.3338700,128.3486000,-18.8406900,-47.5592900,-14.4365700,-59.3656900
450000000,-16.8536500,-43.0035500,15.2467200,121.4427000,-18.9251100,-53.9104100,-14.5103000,-70.0432400
500000000,-16.8468500,-51.7761900,15.2208800,115.8950000,-18.9525700,-58.9623900,-14.8071100,-72.4858900
550000000,-16.5581200,-55.3217500,15.2264800,108.9857000,-18.9516400,-65.3619300,-14.3103900,-81.5905700
600000000,-16.1843200,-63.8536800,15.0999500,103.0619000,-19.0726300,-70.7213800,-14.9106100,-88.0750200
650000000,-16.4826300,-68.9995300,15.2044700,96.9731100,-18.9669600,-76.2826600,-14.2531800,-90.6621000
700000000,-16.1855100,-73.0251800,15.2088300,90.1807200,-18.9567300,-82.5668100,-13.7235000,-98.5831800
750000000,-15.7794500,-78.8208500,15.1285000,83.5422400,-19.0350100,-88.6990200,-13.7078500,-107.4673000
800000000,-15.6698200,-86.6012400,15.0879700,77.7776000,-19.0736400,-93.9782600,-13.9075000,-111.7594000
850000000,-15.6084400,-91.6655400,15.1265000,71.2805300,-19.0315000,-99.9295700,-13.4045400,-117.1497000
900000000,-15.2084300,-97.3355400,15.0775600,64.6331500,-19.0787000,-106.0890000,-13.1568900,-125.1237000
950000000,-14.9196600,-105.0165000,14.9839700,58.5487900,-19.1681500,-111.6436000,-13.4002600,-131.8310000
1000000000,-15.0213500,-111.4714000,15.0189500,52.6894000,-19.1260000,-117.0106000,-13.2041100,-134.7079000
1050000000,-14.8420100,-116.6942000,15.0437200,46.1312600,-19.1006200,-123.0167000,-12.7353100,-140.2782000
1100000000,-14.5330800,-122.7130000,15.0003600,39.5573100,-19.1430100,-129.1155000,-12.4821800,-147.5244000
1150000000,-14.3213600,-130.2014000,14.9298100,33.3719800,-19.2042900,-134.7923000,-12.5427200,-153.7138000
1200000000,-14.2443200,-136.4848000,14.9386000,27.3795500,-19.1989100,-140.3055000,-12.4008200,-157.9739000
1250000000,-14.0808500,-142.6674000,14.9384800,20.8953800,-19.1899200,-146.2548000,-12.0332700,-163.5176000
1300000000,-13.7704400,-149.1243000,14.8851300,14.4727500,-19.2445100,-152.1702000,-11.9008700,-170.1339000
1350000000,-13.6525100,-156.3317000,14.8375100,8.4979870,-19.2881600,-157.7724000,-11.9172200,-175.6535000
1400000000,-13.5687800,-162.7086000,14.8472100,2.3799120,-19.2747400,-163.3569000,-11.7394000,179.9838000
1450000000,-13.3894600,-168.5812000,14.8390400,-4.0800820,-19.2746300,-169.2664000,-11.4439000,174.4014000
1500000000,-13.1862200,-175.2131000,14.7912600,-10.4622100,-19.3223200,-175.0452000,-11.3282400,168.2959000
1550000000,-13.0796100,177.5309000,14.7528400,-16.5541300,-19.3496000,179.3592000,-11.3085300,162.9475000
1600000000,-12.9663000,171.3172000,14.7513900,-22.6715600,-19.3569400,173.7095000,-11.1412500,158.2634000
1650000000,-12.8149400,165.1071000,14.7306500,-29.0477400,-19.3623600,167.8459000,-10.9151800,152.6239000
1700000000,-12.6395100,158.2402000,14.6840100,-35.2594200,-19.4140000,162.1397000,-10.8635500,146.7160000
1750000000,-12.5851500,151.3156000,14.6540600,-41.2866700,-19.4365000,156.6369000,-10.8591800,141.5608000
