Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.000000,-0.026,-0.995,-69.841,136.599,-58.151,-30.048,-0.002,-0.828
15.000000,-0.002,-1.601,-61.914,88.934,-64.836,128.191,0.021,-1.236
20.000000,-0.003,-2.130,-66.801,76.718,-72.417,112.835,0.022,-1.670
25.000000,-0.012,-2.617,-72.305,100.332,-67.395,39.242,0.017,-2.136
30.000000,-0.013,-3.095,-66.359,87.561,-61.215,88.850,0.015,-2.522
35.000000,-0.019,-3.488,-63.379,75.355,-68.006,114.438,0.004,-2.915
40.000000,-0.023,-3.948,-62.986,83.648,-64.580,66.793,0.004,-3.259
45.000000,-0.021,-4.111,-62.367,84.728,-63.539,92.330,-0.006,-3.526
50.000000,-0.020,-4.498,-62.394,83.913,-61.419,87.131,-0.006,-3.881
55.000000,-0.017,-4.874,-62.074,82.775,-61.859,85.391,-0.007,-4.212
60.000000,-0.018,-5.245,-61.106,80.187,-60.485,84.239,-0.004,-4.548
65.000000,-0.018,-5.614,-59.510,83.982,-59.959,85.403,-0.003,-4.873
70.000000,-0.015,-5.968,-59.097,85.856,-59.343,85.380,-0.002,-5.199
75.000000,-0.012,-6.337,-58.661,81.843,-58.641,83.654,0.003,-5.526
80.000000,-0.009,-6.680,-57.815,85.085,-58.246,84.833,-0.003,-5.847
85.000000,-0.008,-7.032,-57.616,83.005,-57.483,82.968,0.005,-6.166
90.000000,-0.008,-7.377,-57.253,82.442,-56.906,82.861,0.002,-6.480
95.000000,-0.007,-7.723,-56.582,80.068,-56.795,80.524,0.004,-6.792
100.000000,-0.005,-8.067,-56.086,82.393,-56.036,81.999,-0.001,-7.088
105.000000,-0.007,-8.405,-55.821,81.337,-55.626,83.403,0.003,-7.384
110.000000,-0.007,-8.734,-55.618,82.073,-55.291,80.367,0.002,-7.670
115.000000,-0.007,-9.055,-54.833,80.631,-54.991,81.131,0.004,-7.947
120.000000,-0.008,-9.381,-54.714,81.077,-54.677,81.686,0.002,-8.216
125.000000,-0.008,-9.712,-54.407,80.813,-54.329,80.281,0.005,-8.486
130.000000,-0.008,-10.034,-54.020,80.432,-53.958,79.637,0.002,-8.744
135.000000,-0.008,-10.361,-53.618,80.242,-53.586,80.012,0.001,-9.009
140.000000,-0.008,-10.689,-53.399,79.574,-53.303,80.120,0.002,-9.264
145.000000,-0.007,-11.030,-53.036,79.349,-53.044,79.147,0.009,-9.521
150.000000,-0.005,-11.366,-52.818,79.155,-52.630,79.185,0.001,-9.774
155.000000,-0.004,-11.714,-52.423,78.973,-52.380,78.873,0.009,-10.026
