Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.000000,0.009,-0.648,-72.027,-176.184,-57.759,-23.125,-0.004,-0.545
15.000000,0.002,-1.017,-60.860,82.185,-62.388,128.308,-0.013,-0.772
20.000000,0.002,-1.404,-71.332,113.314,-71.185,116.781,-0.020,-1.019
25.000000,0.001,-1.668,-67.940,99.568,-61.341,98.672,-0.016,-1.301
30.000000,0.007,-2.047,-65.108,82.842,-66.166,54.956,-0.008,-1.538
35.000000,0.008,-2.368,-63.825,93.630,-63.970,77.080,-0.007,-1.806
40.000000,0.009,-2.711,-63.485,84.544,-64.270,99.717,-0.007,-2.100
45.000000,0.003,-3.024,-63.164,91.081,-63.431,78.103,0.001,-2.484
50.000000,0.003,-3.357,-61.009,89.810,-62.679,87.952,0.002,-2.772
55.000000,0.005,-3.700,-60.594,86.269,-60.417,85.558,-0.003,-3.056
60.000000,0.003,-4.041,-60.006,86.855,-59.800,81.818,0.000,-3.356
65.000000,0.002,-4.395,-59.940,85.231,-59.602,85.134,-0.001,-3.639
70.000000,0.000,-4.730,-58.806,83.787,-59.083,84.966,-0.003,-3.919
75.000000,-0.001,-5.072,-58.500,86.617,-58.499,83.650,-0.003,-4.208
80.000000,-0.001,-5.415,-58.224,84.450,-57.805,83.095,-0.010,-4.489
85.000000,0.000,-5.758,-57.026,82.216,-57.391,83.464,-0.003,-4.781
90.000000,0.000,-6.097,-56.531,84.743,-56.845,83.807,-0.007,-5.073
95.000000,-0.002,-6.442,-56.282,84.654,-56.215,83.075,-0.004,-5.364
100.000000,0.000,-6.796,-55.946,82.825,-55.863,82.142,-0.009,-5.651
105.000000,-0.002,-7.153,-55.547,83.758,-55.656,84.179,-0.007,-5.958
110.000000,0.000,-7.501,-54.751,82.528,-54.773,82.539,-0.006,-6.255
115.000000,-0.002,-7.862,-54.504,82.449,-54.434,81.895,-0.005,-6.550
120.000000,-0.004,-8.229,-54.274,82.531,-54.336,81.758,-0.004,-6.857
125.000000,-0.003,-8.604,-53.957,82.476,-53.882,82.440,-0.004,-7.164
130.000000,-0.005,-8.972,-53.584,82.240,-53.584,80.773,-0.008,-7.467
135.000000,-0.004,-9.341,-53.207,81.008,-53.182,80.532,-0.008,-7.775
140.000000,-0.005,-9.715,-52.908,80.998,-52.898,80.638,-0.011,-8.082
145.000000,-0.006,-10.098,-52.675,80.480,-52.567,80.067,-0.004,-8.391
150.000000,-0.004,-10.479,-52.414,80.764,-52.181,79.965,-0.011,-8.699
155.000000,-0.004,-10.861,-51.924,79.535,-51.911,79.642,-0.006,-9.011
160.000000,-0.005,-11.254,-51.683,79.602,-51.733,79.208,-0.010,-9.328
165.000000,-0.002,-11.645,-51.381,78.774,-51.300,78.266,-0.011,-9.650
170.000000,-0.005,-12.041,-51.344,79.399,-51.166,78.210,-0.007,-9.970
175.000000,-0.003,-12.433,-51.052,78.516,-51.039,78.071,-0.013,-10.300
180.000000,-0.003,-12.835,-50.694,78.010,-50.569,77.089,-0.010,-10.616
185.000000,-0.005,-13.237,-50.474,76.949,-50.464,77.696,-0.009,-10.949
190.000000,-0.008,-13.637,-50.219,77.205,-50.242,76.675,-0.013,-11.283
195.000000,-0.006,-14.031,-50.015,76.573,-50.024,76.951,-0.012,-11.621
200.000000,-0.008,-14.438,-49.766,76.369,-49.754,76.388,-0.012,-11.953
205.000000,-0.009,-14.850,-49.469,76.131,-49.587,75.960,-0.010,-12.291
210.000000,-0.007,-15.239,-49.338,75.731,-49.304,75.539,-0.013,-12.640
215.000000,-0.008,-15.633,-49.177,75.275,-49.070,75.461,-0.017,-12.975
220.000000,-0.011,-16.058,-48.929,74.859,-48.899,74.906,-0.016,-13.302
225.000000,-0.012,-16.457,-48.695,74.411,-48.718,74.700,-0.015,-13.650
230.000000,-0.009,-16.866,-48.564,74.355,-48.496,74.327,-0.018,-13.990
235.000000,-0.011,-17.266,-48.379,73.729,-48.322,73.869,-0.015,-14.319
240.000000,-0.013,-17.658,-48.168,73.395,-48.157,73.405,-0.019,-14.652
245.000000,-0.013,-18.064,-48.060,73.111,-47.954,73.234,-0.019,-14.987
250.000000,-0.013,-18.470,-47.815,73.117,-47.820,72.889,-0.022,-15.323
255.000000,-0.014,-18.863,-47.661,72.445,-47.637,72.264,-0.018,-15.657
260.000000,-0.015,-19.267,-47.494,72.036,-47.496,72.160,-0.023,-15.982
265.000000,-0.015,-19.659,-47.294,71.567,-47.308,71.738,-0.021,-16.318
270.000000,-0.014,-20.069,-47.154,71.412,-47.114,71.349,-0.021,-16.652
275.000000,-0.018,-20.441,-46.988,70.979,-47.012,70.861,-0.017,-16.983
280.000000,-0.015,-20.850,-46.833,70.473,-46.835,70.684,-0.021,-17.321
285.000000,-0.014,-21.229,-46.707,70.245,-46.687,70.323,-0.020,-17.657
290.000000,-0.014,-21.614,-46.552,69.826,-46.547,70.095,-0.018,-17.993
295.000000,-0.013,-21.992,-46.409,69.634,-46.351,69.691,-0.024,-18.335
300.000000,-0.014,-22.390,-46.254,69.201,-46.246,69.206,-0.022,-18.657
305.000000,-0.017,-22.759,-46.172,68.740,-46.079,68.823,-0.023,-18.986
310.000000,-0.018,-23.147,-46.004,68.388,-45.959,68.270,-0.021,-19.318
315.000000,-0.020,-23.525,-45.874,67.973,-45.847,68.103,-0.028,-19.661
320.000000,-0.020,-23.904,-45.757,68.100,-45.688,67.811,-0.021,-19.999
325.000000,-0.019,-24.281,-45.631,67.310,-45.565,67.455,-0.027,-20.333
330.000000,-0.022,-24.650,-45.475,67.077,-45.461,66.998,-0.023,-20.650
335.000000,-0.021,-25.034,-45.373,66.784,-45.314,66.739,-0.027,-20.961
340.000000,-0.019,-25.413,-45.225,66.433,-45.212,66.114,-0.025,-21.304
345.000000,-0.019,-25.779,-45.081,65.943,-45.089,65.957,-0.028,-21.611
350.000000,-0.020,-26.153,-45.000,65.904,-44.952,65.609,-0.026,-21.931
355.000000,-0.021,-26.525,-44.869,65.164,-44.821,65.247,-0.030,-22.233
360.000000,-0.017,-26.899,-44.773,64.852,-44.741,64.946,-0.025,-22.540
365.000000,-0.022,-27.261,-44.673,64.611,-44.623,64.685,-0.027,-22.842
370.000000,-0.019,-27.627,-44.539,64.381,-44.502,64.352,-0.027,-23.145
375.000000,-0.017,-28.005,-44.382,64.055,-44.372,63.861,-0.023,-23.443
380.000000,-0.019,-28.348,-44.323,63.697,-44.278,63.524,-0.027,-23.747
385.000000,-0.020,-28.725,-44.209,63.488,-44.175,63.116,-0.028,-24.065
390.000000,-0.021,-29.097,-44.132,62.909,-44.049,62.868,-0.028,-24.340
395.000000,-0.021,-29.470,-43.992,62.688,-43.919,62.670,-0.028,-24.649
400.000000,-0.023,-29.822,-43.890,62.392,-43.867,62.281,-0.027,-24.954
405.000000,-0.022,-30.201,-43.781,62.080,-43.769,61.941,-0.031,-25.272
410.000000,-0.025,-30.564,-43.670,61.780,-43.636,61.609,-0.032,-25.567
415.000000,-0.025,-30.932,-43.577,61.389,-43.541,61.170,-0.030,-25.873
420.000000,-0.024,-31.281,-43.496,60.934,-43.434,60.800,-0.032,-26.178
425.000000,-0.025,-31.641,-43.395,60.679,-43.332,60.629,-0.030,-26.486
430.000000,-0.023,-31.993,-43.282,60.444,-43.238,60.346,-0.033,-26.773
435.000000,-0.025,-32.349,-43.198,59.994,-43.130,60.010,-0.030,-27.076
440.000000,-0.023,-32.715,-43.088,59.702,-43.054,59.597,-0.033,-27.377
445.000000,-0.024,-33.066,-43.013,59.349,-42.935,59.354,-0.034,-27.671
450.000000,-0.027,-33.416,-42.925,58.951,-42.859,58.866,-0.032,-27.966
455.000000,-0.028,-33.789,-42.829,58.818,-42.765,58.591,-0.031,-28.255
460.000000,-0.025,-34.131,-42.742,58.330,-42.709,58.299,-0.033,-28.556
465.000000,-0.030,-34.490,-42.643,57.991,-42.592,57.877,-0.034,-28.839
470.000000,-0.031,-34.863,-42.555,57.778,-42.518,57.667,-0.034,-29.120
475.000000,-0.031,-35.226,-42.471,57.444,-42.427,57.377,-0.031,-29.410
480.000000,-0.031,-35.587,-42.373,57.127,-42.335,57.169,-0.035,-29.683
485.000000,-0.033,-35.953,-42.292,56.795,-42.238,56.792,-0.035,-29.975
490.000000,-0.030,-36.308,-42.190,56.399,-42.155,56.385,-0.035,-30.257
495.000000,-0.029,-36.652,-42.106,56.140,-42.061,56.078,-0.036,-30.528
500.000000,-0.028,-37.004,-42.038,55.794,-41.986,55.740,-0.035,-30.813
505.000000,-0.027,-37.349,-41.938,55.577,-41.906,55.361,-0.032,-31.102
510.000000,-0.031,-37.705,-41.875,55.223,-41.816,55.043,-0.041,-31.368
515.000000,-0.028,-38.049,-41.776,54.909,-41.733,54.707,-0.033,-31.663
520.000000,-0.030,-38.404,-41.695,54.539,-41.648,54.478,-0.039,-31.958
525.000000,-0.029,-38.751,-41.629,54.186,-41.579,54.106,-0.034,-32.256
530.000000,-0.032,-39.092,-41.539,53.778,-41.511,53.814,-0.041,-32.550
535.000000,-0.032,-39.450,-41.489,53.534,-41.404,53.599,-0.038,-32.848
540.000000,-0.035,-39.782,-41.388,53.305,-41.326,53.100,-0.037,-33.156
545.000000,-0.036,-40.139,-41.312,52.879,-41.252,52.779,-0.043,-33.463
550.000000,-0.036,-40.500,-41.228,52.543,-41.187,52.425,-0.041,-33.763
555.000000,-0.034,-40.852,-41.162,52.265,-41.103,52.167,-0.042,-34.083
560.000000,-0.033,-41.193,-41.087,51.979,-41.026,51.814,-0.043,-34.385
565.000000,-0.030,-41.543,-40.999,51.546,-40.962,51.676,-0.042,-34.681
570.000000,-0.030,-41.875,-40.928,51.344,-40.880,51.277,-0.036,-34.976
575.000000,-0.030,-42.222,-40.863,51.043,-40.806,51.020,-0.040,-35.258
580.000000,-0.029,-42.567,-40.790,50.658,-40.744,50.600,-0.038,-35.545
585.000000,-0.031,-42.908,-40.716,50.335,-40.659,50.158,-0.035,-35.845
590.000000,-0.031,-43.257,-40.643,49.974,-40.591,50.038,-0.041,-36.116
595.000000,-0.032,-43.612,-40.578,49.781,-40.532,49.692,-0.040,-36.406
600.000000,-0.035,-43.957,-40.493,49.319,-40.463,49.382,-0.041,-36.686
605.000000,-0.035,-44.308,-40.435,49.002,-40.402,49.012,-0.041,-36.967
610.000000,-0.035,-44.664,-40.361,48.755,-40.328,48.584,-0.039,-37.255
615.000000,-0.037,-45.037,-40.290,48.383,-40.252,48.320,-0.047,-37.548
620.000000,-0.039,-45.400,-40.224,48.117,-40.186,48.088,-0.042,-37.847
625.000000,-0.039,-45.757,-40.155,47.793,-40.110,47.736,-0.044,-38.147
630.000000,-0.035,-46.104,-40.081,47.440,-40.035,47.395,-0.046,-38.445
635.000000,-0.036,-46.447,-40.009,47.148,-39.970,47.041,-0.045,-38.742
640.000000,-0.034,-46.790,-39.942,46.796,-39.902,46.701,-0.046,-39.044
645.000000,-0.036,-47.133,-39.883,46.463,-39.830,46.341,-0.043,-39.333
650.000000,-0.035,-47.477,-39.818,46.126,-39.763,46.066,-0.049,-39.644
655.000000,-0.034,-47.829,-39.755,45.750,-39.695,45.725,-0.042,-39.940
660.000000,-0.038,-48.173,-39.693,45.484,-39.636,45.385,-0.044,-40.255
665.000000,-0.037,-48.528,-39.625,45.154,-39.599,45.077,-0.046,-40.567
670.000000,-0.040,-48.879,-39.571,44.800,-39.529,44.758,-0.047,-40.875
675.000000,-0.042,-49.242,-39.515,44.561,-39.469,44.350,-0.044,-41.191
680.000000,-0.039,-49.608,-39.451,44.190,-39.405,44.008,-0.046,-41.489
685.000000,-0.042,-49.971,-39.380,43.794,-39.333,43.707,-0.043,-41.823
690.000000,-0.043,-50.346,-39.326,43.521,-39.281,43.406,-0.047,-42.114
695.000000,-0.046,-50.705,-39.256,43.164,-39.219,43.069,-0.046,-42.407
700.000000,-0.044,-51.056,-39.201,42.830,-39.161,42.747,-0.047,-42.720
705.000000,-0.042,-51.407,-39.141,42.500,-39.094,42.453,-0.045,-43.006
710.000000,-0.040,-51.764,-39.086,42.213,-39.047,42.101,-0.043,-43.283
715.000000,-0.042,-52.109,-39.041,41.853,-38.984,41.791,-0.046,-43.559
720.000000,-0.041,-52.460,-38.972,41.622,-38.927,41.441,-0.039,-43.834
725.000000,-0.043,-52.803,-38.917,41.281,-38.871,41.181,-0.047,-44.110
730.000000,-0.043,-53.160,-38.861,40.927,-38.801,40.855,-0.043,-44.391
735.000000,-0.045,-53.509,-38.812,40.526,-38.749,40.475,-0.049,-44.665
740.000000,-0.048,-53.860,-38.754,40.256,-38.702,40.153,-0.046,-44.955
745.000000,-0.048,-54.216,-38.694,39.965,-38.646,39.844,-0.048,-45.234
750.000000,-0.049,-54.575,-38.636,39.585,-38.589,39.516,-0.048,-45.542
755.000000,-0.050,-54.949,-38.569,39.278,-38.526,39.158,-0.051,-45.861
760.000000,-0.053,-55.315,-38.528,38.924,-38.468,38.892,-0.051,-46.161
765.000000,-0.050,-55.678,-38.457,38.643,-38.397,38.437,-0.050,-46.495
770.000000,-0.047,-56.034,-38.398,38.298,-38.350,38.192,-0.050,-46.808
775.000000,-0.046,-56.378,-38.347,37.944,-38.295,37.886,-0.053,-47.128
780.000000,-0.045,-56.720,-38.294,37.581,-38.243,37.520,-0.051,-47.429
785.000000,-0.044,-57.066,-38.247,37.315,-38.190,37.214,-0.048,-47.740
790.000000,-0.044,-57.414,-38.190,36.991,-38.142,36.858,-0.048,-48.029
795.000000,-0.047,-57.767,-38.140,36.584,-38.088,36.535,-0.046,-48.339
800.000000,-0.049,-58.107,-38.091,36.311,-38.041,36.269,-0.049,-48.633
805.000000,-0.052,-58.461,-38.048,36.016,-37.994,35.902,-0.049,-48.928
810.000000,-0.054,-58.808,-38.003,35.657,-37.939,35.540,-0.052,-49.223
815.000000,-0.054,-59.176,-37.943,35.294,-37.892,35.269,-0.050,-49.517
820.000000,-0.059,-59.554,-37.894,34.968,-37.846,34.867,-0.052,-49.809
825.000000,-0.057,-59.935,-37.839,34.659,-37.795,34.576,-0.051,-50.110
830.000000,-0.060,-60.325,-37.789,34.279,-37.748,34.191,-0.051,-50.399
835.000000,-0.060,-60.698,-37.740,33.988,-37.702,33.890,-0.053,-50.702
840.000000,-0.057,-61.056,-37.687,33.653,-37.641,33.609,-0.055,-50.991
845.000000,-0.051,-61.406,-37.637,33.357,-37.588,33.278,-0.055,-51.281
850.000000,-0.050,-61.745,-37.584,33.060,-37.539,32.941,-0.053,-51.563
855.000000,-0.049,-62.084,-37.539,32.723,-37.487,32.646,-0.046,-51.841
860.000000,-0.050,-62.418,-37.479,32.401,-37.444,32.314,-0.048,-52.105
865.000000,-0.051,-62.764,-37.450,32.112,-37.387,32.015,-0.049,-52.406
870.000000,-0.053,-63.109,-37.408,31.769,-37.349,31.670,-0.047,-52.687
875.000000,-0.056,-63.441,-37.353,31.431,-37.306,31.316,-0.055,-52.981
880.000000,-0.056,-63.796,-37.303,31.116,-37.255,31.007,-0.052,-53.292
885.000000,-0.059,-64.157,-37.253,30.754,-37.211,30.648,-0.052,-53.598
890.000000,-0.061,-64.516,-37.215,30.467,-37.162,30.347,-0.055,-53.908
895.000000,-0.062,-64.907,-37.158,30.077,-37.112,30.008,-0.062,-54.227
900.000000,-0.063,-65.287,-37.111,29.733,-37.067,29.651,-0.052,-54.563
905.000000,-0.065,-65.662,-37.064,29.397,-37.016,29.290,-0.060,-54.901
910.000000,-0.063,-66.020,-37.017,29.055,-36.974,28.970,-0.056,-55.221
915.000000,-0.059,-66.382,-36.970,28.702,-36.941,28.584,-0.062,-55.544
