Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-35.320629,61.38974,-0.1050833,-1.7128906,-0.10345516,-1.7263274,-36.893749,56.537594
11000000,-35.44735,54.063293,-0.10596978,-1.7697717,-0.10377167,-1.7829838,-36.961628,51.044621
12000000,-35.602852,45.419895,-0.10684791,-1.8415394,-0.10397488,-1.8563528,-37.089504,44.711842
13000000,-35.81012,35.781479,-0.10765849,-1.9323564,-0.10430461,-1.947763,-37.270863,37.489769
14000000,-36.068455,25.113541,-0.10833567,-2.0424664,-0.10447759,-2.0582864,-37.520077,29.640368
15000000,-36.354324,15.932516,-0.10825527,-2.1586933,-0.10422953,-2.1765425,-37.822872,22.884668
16000000,-36.655235,8.1209383,-0.1082654,-2.2825902,-0.10455204,-2.3017869,-38.204109,17.015665
17000000,-37.00573,1.0246025,-0.10838597,-2.4087379,-0.10474921,-2.429054,-38.610607,12.174817
18000000,-38.550739,-3.054991,-0.10810462,-2.7102487,-0.10469581,-2.7319729,-39.718254,6.67553
19000000,-39.442093,0.06398122,-0.10857002,-3.1890335,-0.10541957,-3.2083628,-40.562172,6.4141526
20000000,-40.006622,2.6850362,-0.10821877,-3.8318741,-0.10592759,-3.8553843,-40.770119,5.7664995
30000000,-40.717957,3.0442874,-0.11018972,-4.6469331,-0.10777825,-4.6718855,-40.623161,4.4553041
40000000,-41.538681,4.2727275,-0.11270855,-5.6332068,-0.11025883,-5.6566553,-40.590927,2.8308558
50000000,-42.040333,7.3193512,-0.1153896,-6.7903538,-0.11256263,-6.8124447,-40.549286,2.6986609
60000000,-42.252567,10.687572,-0.11775538,-8.117527,-0.11540844,-8.1395769,-40.272057,2.926924
70000000,-41.316399,11.074454,-0.12099165,-9.4402514,-0.11889067,-9.4598665,-39.088936,3.9840972
80000000,-41.263332,5.899775,-0.12409214,-10.758986,-0.12177792,-10.778997,-38.030636,-0.085653819
90000000,-41.324276,2.9749343,-0.1285128,-12.083617,-0.12544183,-12.098048,-37.588226,-3.0087907
100000000,-41.05587,3.5187981,-0.13130762,-13.407546,-0.12844446,-13.41809,-37.323467,-4.3946385
110000000,-40.706928,2.9279962,-0.13405167,-14.733427,-0.1313282,-14.741647,-36.746254,-4.9425902
120000000,-40.796078,0.70969802,-0.1371015,-16.057076,-0.13455601,-16.064329,-36.029392,-6.8814917
130000000,-41.051361,0.92531848,-0.14031045,-17.379936,-0.13772881,-17.383619,-35.443306,-9.3802624
140000000,-41.108276,2.7536712,-0.14377347,-18.704056,-0.1408859,-18.706951,-35.006142,-11.133574
150000000,-40.96904,3.0899501,-0.14700258,-20.029053,-0.14457826,-20.029797,-34.594818,-12.097787
160000000,-41.18494,2.6046696,-0.15006116,-21.354174,-0.147965,-21.352646,-34.054386,-13.268991
170000000,-41.598618,3.0597858,-0.15317646,-22.677366,-0.15084131,-22.67507,-33.56834,-15.112362
180000000,-41.816486,4.4891472,-0.15584844,-23.998159,-0.15359716,-23.996698,-33.244812,-17.10692
190000000,-42.03717,5.8849421,-0.15805121,-25.321344,-0.15620546,-25.318859,-32.963974,-18.888035
200000000,-42.677761,5.2607298,-0.16040516,-26.646637,-0.15866137,-26.645391,-32.653397,-20.258635
210000000,-43.545815,5.2850308,-0.1628093,-27.972595,-0.16103546,-27.972132,-32.299889,-21.953859
220000000,-44.332287,7.9575291,-0.16531385,-29.301861,-0.16341655,-29.301741,-31.943943,-24.16371
230000000,-45.035221,11.751696,-0.16815643,-30.633202,-0.16569188,-30.635038,-31.65645,-26.226912
240000000,-46.372662,14.647146,-0.17053942,-31.965839,-0.16819316,-31.9692,-31.401766,-27.953577
250000000,-48.010853,22.027292,-0.17351633,-33.301567,-0.17118517,-33.304199,-31.049238,-29.702108
260000000,-49.13047,30.75194,-0.17673177,-34.639263,-0.17420685,-34.642712,-30.677488,-31.549501
270000000,-50.172829,40.817337,-0.17975226,-35.981213,-0.17709139,-35.98473,-30.358423,-33.681171
280000000,-50.92392,57.410938,-0.18286473,-37.325195,-0.18019705,-37.328739,-30.066555,-35.557503
290000000,-51.228737,73.319962,-0.18564005,-38.671936,-0.18277195,-38.675842,-29.839828,-37.122196
300000000,-51.06469,87.443283,-0.18791866,-40.019993,-0.18517675,-40.02367,-29.572811,-38.95166
310000000,-50.067112,102.08255,-0.19067608,-41.37059,-0.18801463,-41.374035,-29.27915,-41.065315
320000000,-48.782146,113.30096,-0.19308829,-42.723366,-0.19067045,-42.727837,-29.052643,-43.160004
330000000,-47.379818,123.49284,-0.19508396,-44.077553,-0.19291213,-44.08234,-28.820221,-45.150146
340000000,-45.497322,132.70012,-0.1973993,-45.435764,-0.19524242,-45.44075,-28.584089,-47.016933
350000000,-43.63303,134.45486,-0.19932236,-46.799049,-0.19730555,-46.803722,-28.34605,-49.042492
360000000,-42.159103,135.49133,-0.20147127,-48.163521,-0.19956848,-48.169334,-28.079016,-51.186668
370000000,-40.976849,137.44469,-0.20400473,-49.533733,-0.20228797,-49.539627,-27.868958,-53.080669
380000000,-39.750469,138.4628,-0.2065784,-50.908676,-0.20478438,-50.914711,-27.660641,-54.844543
390000000,-38.545666,138.40799,-0.20895171,-52.289219,-0.20687617,-52.29509,-27.422848,-56.603027
400000000,-37.725655,138.311,-0.21164562,-53.674141,-0.20925966,-53.678173,-27.227188,-58.362949
410000000,-36.979458,138.03241,-0.21440004,-55.061523,-0.2120018,-55.0648,-27.042696,-60.138203
420000000,-36.323505,137.81427,-0.21750161,-56.455109,-0.21485221,-56.457859,-26.873791,-61.82938
430000000,-35.712967,137.18567,-0.2204933,-57.853703,-0.21779329,-57.855057,-26.703276,-63.460728
440000000,-35.060898,136.25868,-0.22306637,-59.254581,-0.22020653,-59.255264,-26.525169,-65.259071
450000000,-34.509571,135.48447,-0.22581078,-60.659649,-0.22315644,-60.659855,-26.362457,-67.213524
460000000,-33.972412,134.83797,-0.22894995,-62.068661,-0.22634533,-62.068382,-26.223444,-69.108749
470000000,-33.436298,134.05547,-0.23220684,-63.484211,-0.2296989,-63.485092,-26.08563,-70.886398
480000000,-32.971565,132.70592,-0.23570837,-64.904869,-0.23319046,-64.907372,-25.922688,-72.722427
490000000,-32.529907,131.4791,-0.23872244,-66.328484,-0.2363717,-66.331665,-25.768255,-74.498795
500000000,-32.060947,130.57661,-0.24177518,-67.756729,-0.23958252,-67.760223,-25.616259,-76.388153
510000000,-31.656927,129.44199,-0.24564333,-69.194366,-0.24346951,-69.197037,-25.464046,-78.187958
520000000,-31.299086,128.11758,-0.24959745,-70.640518,-0.24730378,-70.642303,-25.32444,-79.745544
530000000,-30.963715,126.71468,-0.25343227,-72.092186,-0.2509352,-72.094193,-25.180479,-81.420876
540000000,-30.63352,125.28362,-0.25698894,-73.549774,-0.25437695,-73.551796,-25.044952,-83.18615
550000000,-30.309614,124.40057,-0.2603519,-75.011536,-0.25763872,-75.012405,-24.933804,-84.884575
560000000,-30.008087,123.48333,-0.26383743,-76.479126,-0.26104754,-76.480186,-24.830711,-86.769127
570000000,-29.716671,122.45726,-0.2675567,-77.956123,-0.26452315,-77.958336,-24.741072,-88.613449
