Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-37.151508,43.299965,-0.11430784,-1.5767794,-0.11717933,-1.5474186,-38.460373,39.46888
11000000,-37.11655,37.791645,-0.11509717,-1.6514658,-0.11754525,-1.6210779,-38.407604,35.628147
12000000,-37.096916,31.277195,-0.11604055,-1.7457336,-0.11797647,-1.7139729,-38.401875,31.234653
13000000,-37.123951,24.154316,-0.1168514,-1.8603193,-0.11834264,-1.8269711,-38.438221,26.272507
14000000,-37.189526,16.334253,-0.11761778,-1.9959328,-0.11869003,-1.9608854,-38.509933,21.067667
15000000,-37.32795,9.8024807,-0.11801445,-2.1332991,-0.11877263,-2.0984855,-38.657139,17.174864
16000000,-37.516644,4.5670767,-0.11843922,-2.2751606,-0.11937436,-2.239722,-38.87315,13.807623
17000000,-37.778866,-0.037220079,-0.11893186,-2.4144435,-0.11997791,-2.3813181,-39.155773,11.403072
18000000,-38.607777,-0.15342246,-0.11967762,-2.7385967,-0.12065969,-2.7041008,-39.718235,9.7527237
19000000,-38.964935,3.3270967,-0.12119266,-3.2420616,-0.12206186,-3.2029552,-39.947254,10.576621
20000000,-39.099888,6.6350541,-0.12197682,-3.9159589,-0.12380625,-3.8756089,-39.76762,10.923386
30000000,-39.303604,8.5653963,-0.12495851,-4.7576389,-0.12690958,-4.7194304,-39.324181,10.439812
40000000,-39.519165,10.588338,-0.12870519,-5.7717991,-0.13075821,-5.7335696,-38.933918,9.3906164
50000000,-39.551834,13.12548,-0.1327883,-6.9554172,-0.13468547,-6.9204783,-38.537125,9.1772203
60000000,-39.419891,15.798976,-0.13672508,-8.3119249,-0.13920723,-8.2807865,-37.992882,8.7113285
70000000,-38.785812,14.140836,-0.1411325,-9.6547384,-0.14407638,-9.62854,-37.041374,7.3194799
80000000,-38.757782,10.019354,-0.14521876,-10.988995,-0.14835806,-10.973387,-36.308872,3.3796639
90000000,-38.794785,6.7287979,-0.15095641,-12.324844,-0.15322657,-12.315501,-35.947857,0.22488528
100000000,-38.654644,5.4551177,-0.15523416,-13.664392,-0.15753071,-13.65771,-35.713879,-1.9782078
110000000,-38.51635,3.5396972,-0.15944691,-15.006032,-0.16171379,-15.001852,-35.271629,-3.7547255
120000000,-38.621853,0.55094904,-0.16386358,-16.347319,-0.16625509,-16.344173,-34.728867,-6.4421339
130000000,-38.841854,-1.2175165,-0.16847131,-17.686857,-0.170708,-17.682043,-34.241108,-9.5532112
140000000,-38.963734,-2.1113157,-0.1731263,-19.027624,-0.17506152,-19.023584,-33.845242,-12.209832
150000000,-38.984711,-4.2777281,-0.17776051,-20.36949,-0.1799868,-20.363947,-33.479347,-14.379306
160000000,-39.258156,-7.0092564,-0.18202946,-21.709871,-0.18457119,-21.703911,-33.031239,-16.670738
170000000,-39.699955,-9.4665174,-0.18610503,-23.049562,-0.18861285,-23.043598,-32.633202,-19.27244
180000000,-40.039715,-11.140946,-0.18989536,-24.386406,-0.19239034,-24.381983,-32.349483,-21.905298
190000000,-40.41251,-12.976044,-0.19332626,-25.725159,-0.1960112,-25.720469,-32.088844,-24.409685
200000000,-40.984947,-17.110556,-0.19682141,-27.066357,-0.19950342,-27.063753,-31.812792,-26.503418
210000000,-41.701027,-21.699331,-0.20021264,-28.40909,-0.20290382,-28.407104,-31.498907,-28.719498
220000000,-42.537544,-25.042362,-0.20380427,-29.754269,-0.20632771,-29.752792,-31.165289,-31.22562
230000000,-43.494392,-28.271202,-0.2075488,-31.10207,-0.20956577,-31.10183,-30.876451,-33.558475
240000000,-44.528831,-35.199211,-0.21121982,-32.450981,-0.21299732,-32.451641,-30.618704,-35.630375
250000000,-45.893181,-43.979576,-0.21525244,-33.802238,-0.21709658,-33.802338,-30.284508,-37.604767
260000000,-47.322868,-52.143425,-0.21944366,-35.155746,-0.22120376,-35.156837,-29.937931,-39.499447
270000000,-48.354004,-61.387733,-0.22346805,-36.51408,-0.2251319,-36.514038,-29.625204,-41.563122
280000000,-48.928123,-74.846512,-0.22769211,-37.873398,-0.22921711,-37.872986,-29.333597,-43.392025
290000000,-49.209473,-90.641663,-0.23135635,-39.235603,-0.23280193,-39.235195,-29.105135,-44.995663
300000000,-49.174454,-108.53983,-0.23464116,-40.59943,-0.23629855,-40.598221,-28.845654,-46.786434
310000000,-48.753033,-123.67865,-0.2383685,-41.964527,-0.24012086,-41.963428,-28.5606,-48.73288
320000000,-47.866207,-136.9769,-0.24161667,-43.33289,-0.24362138,-43.332081,-28.330439,-50.643497
330000000,-46.455795,-152.08557,-0.24465331,-44.702255,-0.24678981,-44.701439,-28.091946,-52.465034
340000000,-45.024342,-165.09329,-0.24785528,-46.075237,-0.25000528,-46.075012,-27.853325,-54.183723
350000000,-43.76865,-174.07724,-0.25069469,-47.452225,-0.25301588,-47.452953,-27.61504,-56.016323
360000000,-42.547997,178.92285,-0.25381294,-48.832253,-0.25620314,-48.832939,-27.348545,-57.897957
370000000,-41.305298,174.451,-0.25732249,-50.216671,-0.25977299,-50.217937,-27.131031,-59.61359
380000000,-40.102501,170.16074,-0.26074886,-51.60767,-0.26322028,-51.607979,-26.91613,-61.257576
390000000,-38.980305,165.88171,-0.26413813,-53.002998,-0.26632118,-53.003826,-26.680483,-62.928856
400000000,-38.08596,163.39317,-0.26764792,-54.402882,-0.26958826,-54.402569,-26.487988,-64.641129
410000000,-37.277119,161.09775,-0.27131677,-55.805077,-0.27327621,-55.80463,-26.306047,-66.371719
420000000,-36.559093,159.31703,-0.27543765,-57.214699,-0.27705455,-57.212864,-26.137596,-68.065086
430000000,-35.904335,157.44405,-0.27937683,-58.628002,-0.28089568,-58.62579,-25.970181,-69.732948
440000000,-35.220009,155.24309,-0.2828773,-60.044411,-0.2843374,-60.041634,-25.798201,-71.534546
450000000,-34.627121,153.44087,-0.28648195,-61.46426,-0.2881746,-61.461689,-25.637543,-73.456497
460000000,-34.061867,151.83987,-0.29055652,-62.888668,-0.29225734,-62.885368,-25.494625,-75.325737
470000000,-33.507561,150.25871,-0.29474971,-64.319565,-0.29652083,-64.316788,-25.35063,-77.111351
480000000,-33.03278,148.35274,-0.29915684,-65.756073,-0.30091387,-65.75457,-25.187969,-78.972969
490000000,-32.572495,146.57199,-0.30305687,-67.194725,-0.30502683,-67.194389,-25.040409,-80.77755
500000000,-32.077065,145.03619,-0.30708694,-68.638008,-0.30918512,-68.638817,-24.895494,-82.649628
510000000,-31.649273,143.44441,-0.3118003,-70.089752,-0.31391171,-70.091629,-24.747942,-84.450829
520000000,-31.268345,141.72614,-0.31652272,-71.549919,-0.31864348,-71.552849,-24.619198,-86.078659
530000000,-30.915787,139.90492,-0.32080406,-73.016838,-0.32323119,-73.021011,-24.493443,-87.786644
540000000,-30.583195,138.03473,-0.32494131,-74.49099,-0.32756355,-74.495491,-24.375404,-89.520393
550000000,-30.247028,136.70699,-0.32891268,-75.969505,-0.33169237,-75.972641,-24.275545,-91.162209
560000000,-29.937023,135.41441,-0.33298865,-77.454857,-0.33603591,-77.457314,-24.176601,-92.983627
570000000,-29.639683,133.99857,-0.33725557,-78.949806,-0.34045693,-78.952019,-24.092018,-94.796638
580000000,-29.348108,132.82401,-0.34184045,-80.451141,-0.34523234,-80.452469,-24.016518,-96.581535
590000000,-29.077906,131.71069,-0.34603247,-81.957443,-0.34944659,-81.957794,-23.951044,-98.452591
600000000,-28.83124,130.50241,-0.35049656,-83.470787,-0.35373473,-83.46981,-23.89193,-100.3775
610000000,-28.604401,129.4985,-0.3554489,-84.991257,-0.35858926,-84.990433,-23.830311,-102.33677
620000000,-28.378782,128.41095,-0.36038032,-86.52195,-0.36366969,-86.522034,-23.782309,-104.33997
630000000,-28.160419,127.19141,-0.36542565,-88.060944,-0.36876416,-88.060951,-23.741325,-106.39977
640000000,-27.97645,126.05283,-0.37078089,-89.608467,-0.37412143,-89.608025,-23.705372,-108.40403
650000000,-27.80546,124.90851,-0.37548408,-91.164474,-0.37879494,-91.164291,-23.684328,-110.45181
660000000,-27.623812,123.77228,-0.38058257,-92.729973,-0.38389283,-92.730804,-23.669889,-112.52931
670000000,-27.458969,122.73788,-0.38592842,-94.305641,-0.389393,-94.307137,-23.671848,-114.57005
680000000,-27.315567,121.83178,-0.39094695,-95.889053,-0.39452162,-95.890793,-23.695053,-116.69067
690000000,-27.183168,120.87221,-0.39593989,-97.484093,-0.39944988,-97.484406,-23.723547,-118.813
700000000,-27.079578,119.92365,-0.40164143,-99.090805,-0.40514156,-99.090958,-23.750381,-120.9423
710000000,-26.972343,119.01606,-0.40721369,-100.70506,-0.41087294,-100.70477,-23.774673,-123.18529
720000000,-26.866837,118.16189,-0.41256356,-102.32854,-0.41624007,-102.32751,-23.813669,-125.4776
730000000,-26.790323,117.35506,-0.41775629,-103.96413,-0.42160767,-103.96181,-23.883505,-127.88245
740000000,-26.714155,116.55308,-0.42321083,-105.61009,-0.42717147,-105.60638,-23.95015,-130.2561
750000000,-26.648897,115.55913,-0.42874494,-107.26759,-0.4328776,-107.26175,-24.016521,-132.6295
760000000,-26.606009,114.60808,-0.43404678,-108.93378,-0.43827188,-108.92873,-24.113617,-135.09129
770000000,-26.561523,113.78123,-0.43887347,-110.61317,-0.44313103,-110.60739,-24.240225,-137.50822
780000000,-26.536575,112.94932,-0.44411871,-112.30663,-0.44825649,-112.30062,-24.384485,-139.96962
790000000,-26.538588,112.02303,-0.44982114,-114.01323,-0.45398277,-114.00719,-24.543388,-142.59453
800000000,-26.532871,111.18003,-0.45597342,-115.73466,-0.46003821,-115.72914,-24.694851,-145.09505
810000000,-26.540321,110.41485,-0.461757,-117.46942,-0.46581435,-117.46389,-24.867401,-147.75467
820000000,-26.550247,109.7821,-0.46764994,-119.21577,-0.4714967,-119.21171,-25.07036,-150.63681
830000000,-26.564272,109.20744,-0.47439721,-120.98074,-0.47818747,-120.97614,-25.280893,-153.5459
840000000,-26.601913,108.63469,-0.48075193,-122.75903,-0.48459807,-122.75554,-25.492262,-156.59021
850000000,-26.642382,108.11956,-0.48719168,-124.55152,-0.49109104,-124.54867,-25.714479,-159.68796
860000000,-26.682281,107.76606,-0.49391824,-126.36119,-0.49782252,-126.35889,-25.962759,-162.66745
870000000,-26.757536,107.47498,-0.49999887,-128.1843,-0.50385231,-128.18152,-26.255253,-165.91965
880000000,-26.86825,107.18021,-0.50620979,-130.02209,-0.51012492,-130.0201,-26.57358,-169.49011
890000000,-26.982212,107.0133,-0.51313776,-131.8824,-0.51708132,-131.88016,-26.908487,-172.95059
900000000,-27.108793,106.97006,-0.51998657,-133.75771,-0.52401167,-133.75551,-27.263084,-176.46585
910000000,-27.249779,107.00697,-0.52747434,-135.65074,-0.53163391,-135.64763,-27.645012,179.79018
920000000,-27.41621,107.14859,-0.53493237,-137.56331,-0.53908795,-137.55968,-28.066204,175.68234
930000000,-27.591841,107.36432,-0.54242378,-139.49445,-0.5466454,-139.49017,-28.524239,171.09743
940000000,-27.754976,107.65417,-0.5502708,-141.44572,-0.55452722,-141.44112,-28.975489,166.1727
950000000,-27.923031,107.96865,-0.55810589,-143.41978,-0.56238919,-143.41479,-29.421011,161.22542
960000000,-28.119709,108.35162,-0.56598186,-145.41281,-0.57035708,-145.40746,-29.872904,155.88806
970000000,-28.323021,108.9303,-0.57403928,-147.42847,-0.57843727,-147.42166,-30.367569,149.98547
980000000,-28.538912,109.59975,-0.58256978,-149.46759,-0.58677161,-149.46074,-30.911871,143.78391
990000000,-28.77191,110.38128,-0.59111798,-151.52792,-0.5952121,-151.5206,-31.45155,136.89049
1000000000,-29.029068,111.46671,-0.59985995,-153.61243,-0.60400146,-153.605,-31.94022,129.32758
1010000000,-29.287441,112.80251,-0.60885352,-155.72345,-0.61314607,-155.71617,-32.420086,121.23032
1020000000,-29.550125,114.37187,-0.61832988,-157.86035,-0.62256879,-157.85271,-32.856812,112.58112
1030000000,-29.853024,116.11098,-0.62824386,-160.02182,-0.63256341,-160.01399,-33.19606,103.44111
1040000000,-30.167896,117.9979,-0.63838845,-162.21051,-0.64270794,-162.20328,-33.46859,93.76265
1050000000,-30.482697,120.22921,-0.64876288,-164.42583,-0.6531598,-164.41885,-33.596928,83.549156
1060000000,-30.80463,122.90219,-0.6594969,-166.67274,-0.66408163,-166.66592,-33.635063,73.55529
1070000000,-31.116573,125.85244,-0.67070019,-168.95117,-0.67529804,-168.9446,-33.618046,63.752529
1080000000,-31.418846,128.75674,-0.68168455,-171.08694,-0.68617952,-171.08064,-33.520187,54.692837
1090000000,-31.695446,131.75589,-0.69214892,-173.07822,-0.69662374,-173.07239,-33.39587,46.314713
1100000000,-31.932055,134.84256,-0.70178312,-174.92389,-0.70616698,-174.91812,-33.286194,38.672714
1105000000,-32.162956,137.90526,-0.71086824,-176.61763,-0.7152248,-176.61188,-33.128628,32.002346
1110000000,-32.351662,140.89168,-0.7192266,-178.16005,-0.723548,-178.15375,-32.99678,26.193007
1115000000,-32.471512,143.66556,-0.7270093,-179.54797,-0.73124814,-179.54158,-32.876259,20.932339
1120000000,-32.550362,146.16045,-0.73417068,179.22365,-0.73831272,179.23077,-32.741131,16.372007
1125000000,-32.620972,148.79512,-0.74137926,177.98842,-0.74552315,177.99606,-32.593681,11.866323
1130000000,-32.682159,151.63185,-0.74864918,176.74471,-0.75271893,176.75308,-32.442261,7.4093323
1135000000,-32.714191,154.65146,-0.75587231,175.49046,-0.75993907,175.49933,-32.295803,2.9711218
1140000000,-32.706406,157.87585,-0.76328665,174.22368,-0.76726186,174.23276,-32.160416,-1.4736319
1145000000,-32.678055,161.22824,-0.77075899,172.9464,-0.7746684,172.95558,-32.029385,-5.8772278
1150000000,-32.646839,164.69006,-0.77837217,171.66055,-0.78218383,171.66997,-31.894127,-10.144805
1155000000,-32.606586,168.28572,-0.78608435,170.36589,-0.7899425,170.37506,-31.759497,-14.312173
1160000000,-32.535557,171.97469,-0.79410493,169.05878,-0.79798228,169.06757,-31.643768,-18.368755
1165000000,-32.423771,175.70708,-0.80248916,167.73849,-0.80629718,167.74651,-31.55275,-22.377583
1170000000,-32.27338,179.4436,-0.81109631,166.40584,-0.81496131,166.41328,-31.482132,-26.473766
1175000000,-32.092922,-176.87495,-0.8198632,165.06174,-0.82368493,165.06854,-31.419033,-30.872318
1180000000,-31.880926,-173.17233,-0.82875693,163.70659,-0.83257359,163.71262,-31.366951,-35.563179
1185000000,-31.627033,-169.45544,-0.83784992,162.33934,-0.84171438,162.34462,-31.339552,-40.405121
1190000000,-31.33069,-165.70569,-0.84735167,160.95973,-0.85120869,160.96445,-31.337114,-45.312737
1195000000,-30.989178,-162.01572,-0.85717094,159.56659,-0.86104226,159.57153,-31.341164,-50.337116
1200000000,-30.607523,-158.45711,-0.86715257,158.15898,-0.87109184,158.16368,-31.323181,-55.585163
1205000000,-30.18907,-155.08298,-0.87758422,156.73651,-0.88135582,156.74135,-31.270212,-61.037693
1210000000,-29.732252,-151.92326,-0.8882724,155.30132,-0.8919934,155.30608,-31.180544,-66.492439
1215000000,-29.241983,-149.0183,-0.89927948,153.85231,-0.90299803,153.85715,-31.061146,-71.95253
1220000000,-28.730629,-146.36305,-0.91049802,152.38942,-0.91421276,152.39464,-30.908957,-77.623062
1225000000,-28.204006,-143.97057,-0.92185545,150.91072,-0.92559993,150.91592,-30.725773,-83.697655
1230000000,-27.670233,-141.78008,-0.93352199,149.41585,-0.93723953,149.42134,-30.512314,-90.11657
1235000000,-27.12962,-139.80379,-0.94562954,147.90704,-0.94933254,147.91309,-30.274775,-96.718201
1240000000,-26.584934,-138.02092,-0.9581697,146.38428,-0.96196115,146.39041,-30.013401,-103.33119
1245000000,-26.044798,-136.3988,-0.97132283,144.8454,-0.97520608,144.85168,-29.730322,-109.91052
1250000000,-25.51166,-134.88901,-0.98516822,143.28986,-0.98910481,143.29585,-29.42404,-116.45276
1255000000,-24.980509,-133.4986,-0.99974108,141.71526,-1.0036284,141.72096,-29.087849,-122.91076
1260000000,-24.447493,-132.2677,-1.0148681,140.12129,-1.0186403,140.1281,-28.703629,-129.18495
1265000000,-23.915623,-131.18469,-1.0304586,138.50975,-1.0342842,138.51619,-28.271496,-135.29323
1270000000,-23.38558,-130.22531,-1.0466933,136.87904,-1.0505457,136.88556,-27.796055,-141.26669
1275000000,-22.861792,-129.38547,-1.0636278,135.22939,-1.0675482,135.23607,-27.287933,-147.19026
1280000000,-22.341547,-128.64053,-1.0813009,133.56133,-1.0853002,133.56828,-26.748827,-153.04553
1285000000,-21.820183,-128.02687,-1.0995919,131.87381,-1.1035458,131.88147,-26.174465,-158.77127
1290000000,-21.298412,-127.53103,-1.1184332,130.16714,-1.1223899,130.17487,-25.577564,-164.28017
1295000000,-20.779224,-127.145,-1.1380841,128.44041,-1.1421354,128.4471,-24.976286,-169.61311
1300000000,-20.267002,-126.86645,-1.1590281,126.69146,-1.1630704,126.69848,-24.376886,-174.75674
1305000000,-19.762442,-126.6927,-1.1812303,124.91942,-1.1853093,124.92688,-23.779797,-179.74263
1310000000,-19.261024,-126.61377,-1.2046642,123.12461,-1.2086477,123.13214,-23.176434,175.4726
1315000000,-18.763321,-126.63447,-1.2291261,121.30689,-1.2330983,121.31484,-22.565317,170.85925
1320000000,-18.275225,-126.75365,-1.2547908,119.46486,-1.2587119,119.47336,-21.954222,166.41214
1325000000,-17.801847,-126.96547,-1.281635,117.59642,-1.2855893,117.60565,-21.34668,162.0777
1330000000,-17.339552,-127.24832,-1.3098519,115.70163,-1.313802,115.71184,-20.746412,157.88379
1335000000,-16.882425,-127.59007,-1.3393965,113.7812,-1.3432878,113.79247,-20.155809,153.81839
1340000000,-16.427759,-127.97501,-1.370684,111.8374,-1.3745016,111.84868,-19.575922,149.87419
1345000000,-15.977341,-128.41809,-1.4038494,109.86833,-1.4076105,109.88013,-19.011013,146.03889
1350000000,-15.533195,-128.92656,-1.4389852,107.87131,-1.4426889,107.88343,-18.463997,142.2856
1355000000,-15.095691,-129.49539,-1.4762216,105.84705,-1.4799894,105.85932,-17.931183,138.58015
1360000000,-14.663353,-130.12094,-1.5158901,103.79779,-1.5196496,103.8094,-17.406839,134.90886
1365000000,-14.236756,-130.80984,-1.558045,101.72217,-1.5617433,101.73372,-16.889906,131.2692
1370000000,-13.81631,-131.56718,-1.6024992,99.618988,-1.6061502,99.630325,-16.382818,127.65826
1375000000,-13.402205,-132.39502,-1.6487467,97.485268,-1.6524669,97.497177,-15.88868,124.08929
1380000000,-12.994653,-133.28511,-1.6971012,95.320419,-1.7008911,95.33284,-15.407018,120.5562
1385000000,-12.594492,-134.23029,-1.7480433,93.126472,-1.7518551,93.138,-14.934208,117.05943
1390000000,-12.201872,-135.21855,-1.8021685,90.903198,-1.8059422,90.91407,-14.470145,113.58993
1395000000,-11.817048,-136.25252,-1.8595426,88.649712,-1.8632755,88.661423,-14.016921,110.12875
1400000000,-11.439738,-137.32925,-1.9200209,86.366135,-1.9238101,86.378464,-13.576076,106.665
1405000000,-11.070516,-138.44257,-1.9838912,84.053001,-1.9877112,84.064919,-13.149094,103.19326
1410000000,-10.710268,-139.5847,-2.0515499,81.709679,-2.0553691,81.721512,-12.735255,99.712769
1415000000,-10.358729,-140.75902,-2.1231852,79.334709,-2.1268315,79.34726,-12.334241,96.221779
1420000000,-10.015315,-141.96548,-2.198668,76.927841,-2.2021263,76.941322,-11.946184,92.719818
1425000000,-9.6787434,-143.21182,-2.2776682,74.487923,-2.2809873,74.501945,-11.571156,89.205429
1430000000,-9.3493071,-144.49663,-2.3604238,72.01519,-2.3636425,72.028885,-11.207979,85.675621
1435000000,-9.0278311,-145.8175,-2.4474738,69.51104,-2.4505217,69.524635,-10.855353,82.124016
1440000000,-8.7144766,-147.17085,-2.5391638,66.975212,-2.5420089,66.989067,-10.513276,78.549728
1445000000,-8.4086008,-148.55666,-2.6355364,64.408943,-2.6381953,64.422737,-10.18294,74.946625
1450000000,-8.1100178,-149.96732,-2.736589,61.811668,-2.7391958,61.824108,-9.8655386,71.308739
