Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.0000,-4.318818E+001,8.272254E+001,-8.458097E-002,-4.500858E-001,-7.805007E-002,-4.595565E-001,-4.161713E+001,7.104284E+001
20.0000,-4.404444E+001,-4.934144E+000,-9.119056E-002,-6.117865E-001,-8.437341E-002,-5.925915E-001,-4.349088E+001,-8.088885E+000
30.0000,-5.004959E+001,-1.383869E+001,-8.857697E-002,-8.228831E-001,-8.111104E-002,-8.212374E-001,-4.891440E+001,-2.706243E+001
40.0000,-4.980754E+001,2.544369E+001,-8.979195E-002,-1.052015E+000,-8.413609E-002,-1.063580E+000,-5.008457E+001,3.987803E+000
50.0000,-4.647272E+001,2.130238E+000,-9.679888E-002,-1.294480E+000,-8.165616E-002,-1.288761E+000,-4.612531E+001,1.353211E+001
100.0000,-4.392025E+001,-9.785018E+000,-1.076054E-001,-2.424379E+000,-1.013736E-001,-2.437531E+000,-4.270411E+001,-4.748916E+000
150.0000,-4.197987E+001,-1.007393E+001,-1.193392E-001,-3.565624E+000,-1.121154E-001,-3.568505E+000,-4.069233E+001,-6.369186E+000
200.0000,-4.048729E+001,-6.186873E+000,-1.306298E-001,-4.664024E+000,-1.231736E-001,-4.673347E+000,-3.890194E+001,-5.548416E+000
250.0000,-3.938438E+001,-6.230255E+000,-1.402467E-001,-5.759548E+000,-1.336385E-001,-5.761580E+000,-3.783489E+001,-8.636065E+000
300.0000,-3.846071E+001,-1.390479E+001,-1.480249E-001,-6.839707E+000,-1.413766E-001,-6.849683E+000,-3.681916E+001,-1.354417E+001
350.0000,-3.760464E+001,-2.250321E+001,-1.547800E-001,-7.919892E+000,-1.475502E-001,-7.929411E+000,-3.612349E+001,-2.076922E+001
400.0000,-3.678666E+001,-3.473989E+001,-1.613920E-001,-9.003158E+000,-1.552839E-001,-9.005342E+000,-3.522234E+001,-2.998242E+001
450.0000,-3.599375E+001,-4.327715E+001,-1.671477E-001,-1.007437E+001,-1.614458E-001,-1.007943E+001,-3.436172E+001,-3.579725E+001
500.0000,-3.521370E+001,-5.164048E+001,-1.732969E-001,-1.113813E+001,-1.669023E-001,-1.114849E+001,-3.353303E+001,-4.229168E+001
550.0000,-3.474635E+001,-5.672379E+001,-1.796593E-001,-1.221527E+001,-1.717940E-001,-1.221587E+001,-3.290282E+001,-4.515198E+001
600.0000,-3.397029E+001,-6.139867E+001,-1.842996E-001,-1.327204E+001,-1.767038E-001,-1.328943E+001,-3.228678E+001,-5.011006E+001
650.0000,-3.340283E+001,-6.708907E+001,-1.901283E-001,-1.433394E+001,-1.831492E-001,-1.434936E+001,-3.144931E+001,-5.279306E+001
700.0000,-3.290989E+001,-7.196097E+001,-1.952229E-001,-1.539943E+001,-1.879299E-001,-1.541643E+001,-3.102144E+001,-5.540175E+001
750.0000,-3.217073E+001,-7.689392E+001,-1.997750E-001,-1.646441E+001,-1.927501E-001,-1.647927E+001,-3.036754E+001,-5.917097E+001
800.0000,-3.179989E+001,-8.142087E+001,-2.050190E-001,-1.752710E+001,-1.976245E-001,-1.754126E+001,-2.984541E+001,-6.072332E+001
850.0000,-3.127390E+001,-8.509590E+001,-2.099532E-001,-1.858834E+001,-2.019507E-001,-1.860863E+001,-2.946328E+001,-6.382378E+001
900.0000,-3.077850E+001,-8.917583E+001,-2.146466E-001,-1.965130E+001,-2.068675E-001,-1.966817E+001,-2.892476E+001,-6.614171E+001
950.0000,-3.036998E+001,-9.303877E+001,-2.200706E-001,-2.070995E+001,-2.109295E-001,-2.073167E+001,-2.856144E+001,-6.821111E+001
1000.0000,-2.987155E+001,-9.675588E+001,-2.252523E-001,-2.175778E+001,-2.167088E-001,-2.179334E+001,-2.810268E+001,-7.096964E+001
1050.0000,-2.951935E+001,-1.012413E+002,-2.289944E-001,-2.281457E+001,-2.215025E-001,-2.284405E+001,-2.767949E+001,-7.281031E+001
1100.0000,-2.906932E+001,-1.043381E+002,-2.334198E-001,-2.386690E+001,-2.259708E-001,-2.390157E+001,-2.732986E+001,-7.479703E+001
1150.0000,-2.876787E+001,-1.080607E+002,-2.380581E-001,-2.492451E+001,-2.306033E-001,-2.495716E+001,-2.699292E+001,-7.628794E+001
1200.0000,-2.846007E+001,-1.112446E+002,-2.425574E-001,-2.598210E+001,-2.345320E-001,-2.601520E+001,-2.673608E+001,-7.784044E+001
1250.0000,-2.815863E+001,-1.140508E+002,-2.464272E-001,-2.703203E+001,-2.387587E-001,-2.706848E+001,-2.646872E+001,-7.961232E+001
1300.0000,-2.786838E+001,-1.176637E+002,-2.512290E-001,-2.808944E+001,-2.432983E-001,-2.812587E+001,-2.623443E+001,-8.100043E+001
1350.0000,-2.756938E+001,-1.203700E+002,-2.573348E-001,-2.913792E+001,-2.478587E-001,-2.918250E+001,-2.604954E+001,-8.292397E+001
1400.0000,-2.727337E+001,-1.232238E+002,-2.611294E-001,-3.018978E+001,-2.523202E-001,-3.023495E+001,-2.576804E+001,-8.478130E+001
1450.0000,-2.705516E+001,-1.261284E+002,-2.643591E-001,-3.123389E+001,-2.569164E-001,-3.128431E+001,-2.559834E+001,-8.585589E+001
1500.0000,-2.686178E+001,-1.288848E+002,-2.685725E-001,-3.227911E+001,-2.601757E-001,-3.232999E+001,-2.549567E+001,-8.755182E+001
1550.0000,-2.663943E+001,-1.318181E+002,-2.725334E-001,-3.332880E+001,-2.645914E-001,-3.338235E+001,-2.529127E+001,-8.890018E+001
1600.0000,-2.655188E+001,-1.344547E+002,-2.754851E-001,-3.437761E+001,-2.675523E-001,-3.443388E+001,-2.524379E+001,-8.986985E+001
1650.0000,-2.642566E+001,-1.372898E+002,-2.791335E-001,-3.542761E+001,-2.715047E-001,-3.548124E+001,-2.517468E+001,-9.114269E+001
1700.0000,-2.638333E+001,-1.401829E+002,-2.824377E-001,-3.648315E+001,-2.750733E-001,-3.653302E+001,-2.513263E+001,-9.206464E+001
1750.0000,-2.635026E+001,-1.427912E+002,-2.856986E-001,-3.753103E+001,-2.785154E-001,-3.758686E+001,-2.514855E+001,-9.305225E+001
1800.0000,-2.633370E+001,-1.456820E+002,-2.895094E-001,-3.857073E+001,-2.826274E-001,-3.864155E+001,-2.513492E+001,-9.410848E+001
1850.0000,-2.636962E+001,-1.487754E+002,-2.912996E-001,-3.961686E+001,-2.858754E-001,-3.968459E+001,-2.518008E+001,-9.465811E+001
1900.0000,-2.633958E+001,-1.516228E+002,-2.936417E-001,-4.066819E+001,-2.879903E-001,-4.073516E+001,-2.521765E+001,-9.545534E+001
1950.0000,-2.641655E+001,-1.550157E+002,-2.956500E-001,-4.172308E+001,-2.908033E-001,-4.178460E+001,-2.531455E+001,-9.572472E+001
2000.0000,-2.651963E+001,-1.581328E+002,-2.973215E-001,-4.277202E+001,-2.929849E-001,-4.283837E+001,-2.547615E+001,-9.636222E+001
2050.0000,-2.660043E+001,-1.615170E+002,-2.992443E-001,-4.383079E+001,-2.957763E-001,-4.389200E+001,-2.561402E+001,-9.692566E+001
2100.0000,-2.676733E+001,-1.650622E+002,-3.010989E-001,-4.488941E+001,-2.965218E-001,-4.494958E+001,-2.585151E+001,-9.685851E+001
2150.0000,-2.687839E+001,-1.685914E+002,-3.042638E-001,-4.595034E+001,-2.989205E-001,-4.600510E+001,-2.606822E+001,-9.749377E+001
2200.0000,-2.703091E+001,-1.725318E+002,-3.069237E-001,-4.700566E+001,-3.018793E-001,-4.706684E+001,-2.626262E+001,-9.680138E+001
2250.0000,-2.724629E+001,-1.765661E+002,-3.080491E-001,-4.806152E+001,-3.036036E-001,-4.812338E+001,-2.662125E+001,-9.628124E+001
2300.0000,-2.739117E+001,1.788397E+002,-3.093027E-001,-4.912263E+001,-3.058619E-001,-4.917854E+001,-2.691778E+001,-9.579977E+001
2350.0000,-2.763345E+001,1.736619E+002,-3.107962E-001,-5.018712E+001,-3.072817E-001,-5.024151E+001,-2.728184E+001,-9.436387E+001
2400.0000,-2.786812E+001,1.688133E+002,-3.121607E-001,-5.125261E+001,-3.080083E-001,-5.130714E+001,-2.772210E+001,-9.329269E+001
2450.0000,-2.808893E+001,1.631944E+002,-3.135176E-001,-5.232136E+001,-3.087669E-001,-5.237394E+001,-2.810175E+001,-9.078288E+001
2500.0000,-2.840969E+001,1.569008E+002,-3.144228E-001,-5.339220E+001,-3.097507E-001,-5.344458E+001,-2.871623E+001,-8.815296E+001
2550.0000,-2.850594E+001,1.504478E+002,-3.159384E-001,-5.447234E+001,-3.113449E-001,-5.451843E+001,-2.906786E+001,-8.515714E+001
2600.0000,-2.861618E+001,1.426136E+002,-3.182051E-001,-5.554519E+001,-3.126624E-001,-5.559627E+001,-2.961373E+001,-8.005122E+001
2650.0000,-2.874409E+001,1.355223E+002,-3.196567E-001,-5.662456E+001,-3.142435E-001,-5.667258E+001,-3.010168E+001,-7.590082E+001
2700.0000,-2.864012E+001,1.274104E+002,-3.214620E-001,-5.770195E+001,-3.165637E-001,-5.775241E+001,-3.029800E+001,-6.944897E+001
2750.0000,-2.853356E+001,1.187502E+002,-3.227513E-001,-5.878333E+001,-3.175790E-001,-5.883631E+001,-3.065607E+001,-6.161108E+001
2800.0000,-2.821231E+001,1.111888E+002,-3.245660E-001,-5.987068E+001,-3.187099E-001,-5.992203E+001,-3.061195E+001,-5.470617E+001
2850.0000,-2.780295E+001,1.030437E+002,-3.264456E-001,-6.095828E+001,-3.213868E-001,-6.101226E+001,-3.041338E+001,-4.575466E+001
2900.0000,-2.735687E+001,9.582746E+001,-3.290420E-001,-6.204788E+001,-3.229113E-001,-6.210633E+001,-3.016208E+001,-3.864625E+001
2950.0000,-2.677873E+001,8.914937E+001,-3.317724E-001,-6.314208E+001,-3.253896E-001,-6.320238E+001,-2.942415E+001,-3.227912E+001
3000.0000,-2.619052E+001,8.262248E+001,-3.342674E-001,-6.423988E+001,-3.285211E-001,-6.429596E+001,-2.875625E+001,-2.529071E+001
3050.0000,-2.560325E+001,7.728737E+001,-3.381013E-001,-6.533845E+001,-3.312894E-001,-6.539397E+001,-2.800583E+001,-2.140570E+001
3100.0000,-2.494220E+001,7.199895E+001,-3.413133E-001,-6.644189E+001,-3.348892E-001,-6.649525E+001,-2.709126E+001,-1.667581E+001
3150.0000,-2.434402E+001,6.717445E+001,-3.453906E-001,-6.753963E+001,-3.383588E-001,-6.760167E+001,-2.639488E+001,-1.354991E+001
3200.0000,-2.368202E+001,6.319466E+001,-3.499110E-001,-6.864388E+001,-3.425183E-001,-6.870412E+001,-2.554019E+001,-1.174731E+001
3250.0000,-2.306476E+001,5.903005E+001,-3.541686E-001,-6.974874E+001,-3.468775E-001,-6.980727E+001,-2.472099E+001,-9.336876E+000
3300.0000,-2.248754E+001,5.554689E+001,-3.585208E-001,-7.086031E+001,-3.515100E-001,-7.091695E+001,-2.407152E+001,-8.415132E+000
3350.0000,-2.186591E+001,5.219942E+001,-3.650939E-001,-7.197110E+001,-3.572910E-001,-7.202699E+001,-2.324833E+001,-7.608068E+000
3400.0000,-2.132659E+001,4.924454E+001,-3.705921E-001,-7.308224E+001,-3.629850E-001,-7.314098E+001,-2.262656E+001,-6.744011E+000
3450.0000,-2.078856E+001,4.660144E+001,-3.775943E-001,-7.419249E+001,-3.689554E-001,-7.425115E+001,-2.198242E+001,-6.739347E+000
3500.0000,-2.025545E+001,4.376921E+001,-3.839597E-001,-7.529681E+001,-3.759205E-001,-7.536512E+001,-2.135320E+001,-6.296741E+000
3550.0000,-1.979099E+001,4.141899E+001,-3.906428E-001,-7.640649E+001,-3.829693E-001,-7.647749E+001,-2.084839E+001,-6.457467E+000
3600.0000,-1.931620E+001,3.896283E+001,-3.989331E-001,-7.751147E+001,-3.898310E-001,-7.758392E+001,-2.025974E+001,-6.651845E+000
