Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.0000,-3.358039E+001,1.065969E+001,-2.383055E-001,-3.446916E-001,-2.385362E-001,-2.967070E-001,-3.328562E+001,1.123682E+001
20.0000,-3.270127E+001,7.104537E+000,-2.462489E-001,-6.123739E-001,-2.444480E-001,-5.692707E-001,-3.277314E+001,5.469597E+000
30.0000,-3.280404E+001,1.083206E+001,-2.461029E-001,-8.469196E-001,-2.440577E-001,-7.982062E-001,-3.310704E+001,6.177833E+000
40.0000,-3.258967E+001,1.487327E+001,-2.485131E-001,-1.064686E+000,-2.461025E-001,-1.031392E+000,-3.286679E+001,9.413669E+000
50.0000,-3.260233E+001,1.665208E+001,-2.512575E-001,-1.287236E+000,-2.506204E-001,-1.258782E+000,-3.249746E+001,1.114423E+001
100.0000,-3.136809E+001,1.973734E+001,-2.683376E-001,-2.346714E+000,-2.680381E-001,-2.342447E+000,-3.165859E+001,1.220950E+001
150.0000,-3.057450E+001,2.285855E+001,-2.830922E-001,-3.432659E+000,-2.834933E-001,-3.436226E+000,-3.110028E+001,1.264497E+001
200.0000,-2.993592E+001,2.284258E+001,-2.995124E-001,-4.437597E+000,-3.009377E-001,-4.444012E+000,-3.073907E+001,1.027168E+001
250.0000,-2.944494E+001,2.240252E+001,-3.135286E-001,-5.440623E+000,-3.142596E-001,-5.441941E+000,-3.048544E+001,7.588208E+000
300.0000,-2.908511E+001,2.229679E+001,-3.249327E-001,-6.439299E+000,-3.250678E-001,-6.440730E+000,-3.029181E+001,5.847466E+000
350.0000,-2.865912E+001,2.174002E+001,-3.371077E-001,-7.411394E+000,-3.365484E-001,-7.411327E+000,-3.013121E+001,3.372905E+000
400.0000,-2.838952E+001,2.155563E+001,-3.468707E-001,-8.390939E+000,-3.465223E-001,-8.390640E+000,-2.999482E+001,1.965344E+000
450.0000,-2.802802E+001,2.135021E+001,-3.577045E-001,-9.346038E+000,-3.578959E-001,-9.342793E+000,-2.987860E+001,2.811238E-001
500.0000,-2.786295E+001,2.126879E+001,-3.651732E-001,-1.028822E+001,-3.656969E-001,-1.029257E+001,-2.995313E+001,-1.144228E+000
550.0000,-2.766255E+001,2.187014E+001,-3.709233E-001,-1.124498E+001,-3.709389E-001,-1.124408E+001,-3.005057E+001,-1.788129E+000
600.0000,-2.751189E+001,2.196002E+001,-3.768596E-001,-1.219501E+001,-3.764944E-001,-1.219458E+001,-3.024690E+001,-2.891758E+000
650.0000,-2.746866E+001,2.194337E+001,-3.802214E-001,-1.314278E+001,-3.805174E-001,-1.314191E+001,-3.049380E+001,-4.033230E+000
700.0000,-2.738396E+001,2.204063E+001,-3.841950E-001,-1.410062E+001,-3.841242E-001,-1.409967E+001,-3.083047E+001,-4.904650E+000
750.0000,-2.734020E+001,2.205711E+001,-3.914162E-001,-1.505120E+001,-3.910530E-001,-1.505217E+001,-3.111738E+001,-7.113586E+000
800.0000,-2.739436E+001,2.177982E+001,-3.912628E-001,-1.599739E+001,-3.908045E-001,-1.599435E+001,-3.161942E+001,-7.646291E+000
850.0000,-2.735578E+001,2.189839E+001,-3.966988E-001,-1.695200E+001,-3.955768E-001,-1.695487E+001,-3.199848E+001,-8.773506E+000
900.0000,-2.734187E+001,2.250916E+001,-4.010819E-001,-1.791256E+001,-4.007812E-001,-1.791062E+001,-3.235681E+001,-9.510946E+000
950.0000,-2.734705E+001,2.289086E+001,-4.022354E-001,-1.887121E+001,-4.012523E-001,-1.886927E+001,-3.290710E+001,-9.191824E+000
1000.0000,-2.732254E+001,2.367858E+001,-4.085269E-001,-1.981861E+001,-4.075391E-001,-1.982051E+001,-3.332413E+001,-9.998499E+000
1050.0000,-2.729731E+001,2.422307E+001,-4.107623E-001,-2.075550E+001,-4.101311E-001,-2.075469E+001,-3.401685E+001,-8.891302E+000
1100.0000,-2.730446E+001,2.442528E+001,-4.122719E-001,-2.170595E+001,-4.118532E-001,-2.170329E+001,-3.464693E+001,-7.277688E+000
1150.0000,-2.735581E+001,2.510890E+001,-4.141074E-001,-2.265915E+001,-4.137861E-001,-2.265448E+001,-3.522840E+001,-4.238601E+000
1200.0000,-2.735411E+001,2.545561E+001,-4.165547E-001,-2.360419E+001,-4.155985E-001,-2.360718E+001,-3.600233E+001,-7.934827E-001
1250.0000,-2.741192E+001,2.644371E+001,-4.185719E-001,-2.456428E+001,-4.173839E-001,-2.456658E+001,-3.645659E+001,2.978777E+000
1300.0000,-2.739842E+001,2.695205E+001,-4.203356E-001,-2.551201E+001,-4.199623E-001,-2.551048E+001,-3.711900E+001,8.961620E+000
1350.0000,-2.743529E+001,2.764987E+001,-4.213764E-001,-2.646780E+001,-4.213728E-001,-2.646509E+001,-3.755374E+001,1.507855E+001
1400.0000,-2.746676E+001,2.851837E+001,-4.235101E-001,-2.742179E+001,-4.223206E-001,-2.742021E+001,-3.769296E+001,2.261181E+001
1450.0000,-2.750896E+001,2.929072E+001,-4.242384E-001,-2.837510E+001,-4.235504E-001,-2.837365E+001,-3.773355E+001,3.030847E+001
1500.0000,-2.756420E+001,3.055017E+001,-4.248890E-001,-2.933527E+001,-4.238364E-001,-2.933051E+001,-3.738535E+001,3.627620E+001
1550.0000,-2.756798E+001,3.166138E+001,-4.276434E-001,-3.030332E+001,-4.266671E-001,-3.030112E+001,-3.697018E+001,4.238848E+001
1600.0000,-2.754708E+001,3.316233E+001,-4.299965E-001,-3.125234E+001,-4.287555E-001,-3.125324E+001,-3.647254E+001,4.761562E+001
1650.0000,-2.754288E+001,3.411492E+001,-4.306203E-001,-3.221691E+001,-4.293169E-001,-3.221165E+001,-3.572165E+001,5.210806E+001
1700.0000,-2.751777E+001,3.528580E+001,-4.317856E-001,-3.317643E+001,-4.305952E-001,-3.317141E+001,-3.508207E+001,5.590264E+001
1750.0000,-2.748335E+001,3.672188E+001,-4.322685E-001,-3.414422E+001,-4.317935E-001,-3.413725E+001,-3.433671E+001,5.769639E+001
1800.0000,-2.737207E+001,3.774877E+001,-4.344353E-001,-3.509767E+001,-4.330493E-001,-3.508794E+001,-3.365745E+001,6.059638E+001
