Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.54907209,-1.5043055,-60.668568,19.713799,-57.792763,-115.17983,-0.55225945,-1.337858
20000000,-0.57220882,-2.2857468,-60.592354,-11.908255,-61.148167,-66.523827,-0.54738855,-1.9686545
30000000,-0.60342634,-3.3726988,-59.406311,-40.550285,-70.073235,-22.462887,-0.54254764,-2.9315689
40000000,-0.62579864,-4.3660164,-52.836369,-31.940226,-64.956314,12.214026,-0.55074286,-3.8908203
50000000,-0.64903671,-5.3076119,-49.618198,-33.08326,-65.687485,25.485035,-0.55405128,-4.9016094
60000000,-0.66814142,-6.2597489,-46.847748,-37.339634,-64.079697,96.228737,-0.55667639,-5.9102097
70000000,-0.69172788,-7.1625438,-46.3246,-33.935284,-74.762131,135.28104,-0.55565733,-6.9735756
80000000,-0.70047802,-8.0892534,-44.531147,-33.954308,-75.768486,140.01323,-0.55529588,-7.9687672
90000000,-0.70643222,-9.0105286,-42.839661,-34.1245,-73.630341,32.914917,-0.55556816,-8.9772301
100000000,-0.71344042,-12.786,-38.21405,-36.061359,-80.295349,-70.057854,-0.556593,-12.992721
200000000,-0.72109801,-19.445656,-31.921978,-40.133278,-80.669975,-136.07481,-0.56144613,-20.039078
300000000,-0.72869051,-29.040585,-24.573694,-47.132595,-77.417191,-165.20967,-0.57019532,-30.077105
400000000,-0.73737407,-38.814423,-19.38448,-56.820736,-62.65963,163.68565,-0.58322495,-40.146347
500000000,-0.77168,-48.924736,-15.229472,-69.297081,-55.569294,139.79083,-0.60331392,-50.242172
600000000,-0.90050286,-58.444912,-12.896111,-83.400932,-52.027199,131.52307,-0.62550205,-60.298862
700000000,-0.97944194,-67.875351,-10.858425,-93.723175,-49.27037,121.10289,-0.65004712,-70.419418
800000000,-1.041779,-77.107704,-9.2121372,-101.89014,-47.1763,111.7338,-0.67706329,-80.573486
900000000,-1.0282065,-87.043159,-6.6957684,-108.93098,-44.432034,105.00969,-0.71481651,-90.817444
1000000000,-1.0862629,-97.099167,-4.6370783,-119.83678,-42.192253,93.331207,-0.76493633,-101.05845
1100000000,-1.1710778,-107.22315,-2.8629925,-131.25996,-40.330761,81.693535,-0.82584798,-111.33557
1200000000,-1.2819262,-117.40545,-1.2639912,-142.93401,-38.522293,70.16153,-0.89857352,-121.67188
1300000000,-1.4241748,-127.71457,0.20711821,-154.93472,-36.879425,58.322685,-0.99194723,-132.05983
1400000000,-1.6094195,-138.18959,1.592514,-167.33003,-35.307896,46.282665,-1.1087878,-142.4585
1500000000,-1.8647755,-148.95132,2.9194136,179.55585,-33.864014,33.117466,-1.2625884,-152.8822
1600000000,-2.2630825,-160.10428,4.21946,165.10736,-32.478893,19.074327,-1.4695452,-163.22865
1700000000,-3.0323005,-171.34645,5.4461203,147.60362,-31.201889,1.9288753,-1.7729076,-173.11411
1800000000,-4.4634089,-177.07744,5.9666691,123.41417,-30.588781,-21.357876,-2.0616496,178.79272
1900000000,-4.7133512,-176.94246,3.4129353,102.80961,-32.929401,-40.718258,-1.9645067,170.86345
2000000000,-4.1163692,-178.87279,1.5472209,102.36349,-34.620613,-40.987926,-1.6985835,161.26833
2100000000,-2.7332468,172.67841,1.0299739,110.47721,-35.003105,-33.123863,-1.4613079,149.29131
2200000000,-2.4006567,158.21935,3.7285321,116.36528,-32.384506,-27.937778,-1.606566,136.76189
2300000000,-2.5501428,145.83502,5.7688904,105.25814,-30.328583,-38.393185,-1.8773466,125.20123
2400000000,-2.8159502,134.70758,7.0362339,92.845871,-29.080343,-49.933289,-2.1707826,114.07094
2500000000,-3.1252596,124.26051,7.9808512,80.454979,-28.078362,-61.346916,-2.4854233,103.16005
2600000000,-3.4697886,114.29719,8.7432508,68.226021,-27.294147,-72.874718,-2.8249991,92.37674
2700000000,-3.839741,104.66306,9.3889399,56.107815,-26.590298,-84.313599,-3.1936367,81.702637
2800000000,-4.2304006,95.384666,9.9498596,44.09465,-26.002686,-95.792793,-3.5969892,71.113518
2900000000,-4.6443062,86.406853,10.439894,32.171303,-25.481941,-106.92625,-4.033309,60.612881
3000000000,-5.0799198,77.733047,10.868946,20.321278,-25.055386,-117.90549,-4.5078173,50.215549
3100000000,-5.5360203,69.336861,11.24304,8.5509825,-24.653574,-128.81743,-5.0200586,39.950951
3200000000,-6.0127912,61.270672,11.570135,-3.1554108,-24.292274,-139.78154,-5.5729547,29.812817
3300000000,-6.494616,53.612347,11.856009,-14.747464,-23.972887,-150.60683,-6.1646929,19.803734
3400000000,-6.9824405,46.353977,12.104695,-26.230555,-23.699026,-161.17415,-6.7974944,9.9718447
3500000000,-7.4557366,39.369984,12.320968,-37.61549,-23.461596,-171.63669,-7.4673066,0.37834463
3600000000,-7.9201455,32.735596,12.50888,-48.900639,-23.248148,177.97838,-8.1804371,-8.9811983
3700000000,-8.362134,26.386507,12.66925,-60.082878,-23.059433,167.69438,-8.9265423,-18.047548
3800000000,-8.7799625,20.439503,12.804429,-71.134918,-22.904352,157.52034,-9.7208271,-26.830856
3900000000,-9.1564512,14.710952,12.916053,-82.093269,-22.761194,147.57095,-10.533752,-35.23444
4000000000,-9.4963541,9.1728449,13.006619,-92.915543,-22.644388,137.61958,-11.381783,-43.288029
4100000000,-9.7871389,3.7017517,13.081483,-103.64187,-22.53636,127.7214,-12.226146,-50.881203
4200000000,-10.036274,-1.7462416,13.141956,-114.24261,-22.453453,117.95525,-13.094462,-58.10392
4300000000,-10.240499,-7.2271161,13.188493,-124.74467,-22.38229,108.32477,-13.954756,-64.873962
4400000000,-10.410142,-12.793611,13.221865,-135.12103,-22.32313,98.868393,-14.814896,-71.081017
4500000000,-10.551499,-18.529655,13.246484,-145.41187,-22.272009,89.479462,-15.628519,-76.876472
4600000000,-10.671907,-24.445099,13.267438,-155.60995,-22.232359,80.176788,-16.387074,-82.222237
4700000000,-10.775089,-30.573689,13.28004,-165.72156,-22.196941,70.980301,-17.106346,-87.348526
4800000000,-10.860127,-36.874241,13.28938,-175.73979,-22.165579,61.814415,-17.757584,-92.048149
4900000000,-10.938474,-43.380867,13.292615,174.31569,-22.127392,52.845783,-18.308413,-96.703094
5000000000,-11.016703,-50.131275,13.295079,164.44191,-22.092144,43.87402,-18.754459,-101.43253
5100000000,-11.10937,-57.100975,13.293053,154.65042,-22.068821,34.939041,-19.136738,-106.19772
5200000000,-11.198292,-64.210045,13.290073,144.9057,-22.048368,26.09498,-19.444309,-110.95368
5300000000,-11.288018,-71.422523,13.285828,135.21815,-22.025028,17.303219,-19.670706,-115.85327
5400000000,-11.373336,-78.784264,13.278942,125.57673,-21.996574,8.5905924,-19.804331,-121.32523
5500000000,-11.467708,-86.323181,13.267593,115.99832,-21.978584,-0.080380745,-19.917839,-127.21637
5600000000,-11.581449,-93.996857,13.253691,106.46027,-21.969683,-8.6794195,-19.999702,-133.37462
5700000000,-11.696785,-101.73887,13.237087,96.965271,-21.958717,-17.228241,-20.043465,-139.68103
5800000000,-11.820669,-109.54718,13.220325,87.499573,-21.946135,-25.811617,-20.059803,-146.4971
5900000000,-11.931569,-117.4771,13.200352,78.083969,-21.927671,-34.342766,-20.066595,-153.49603
6000000000,-12.046957,-125.61651,13.17965,68.686523,-21.914289,-42.834656,-20.087477,-160.77466
6100000000,-12.16785,-133.71457,13.155317,59.345833,-21.905001,-51.269119,-20.064228,-167.90976
6200000000,-12.276254,-141.84216,13.131104,50.033638,-21.905636,-59.638248,-20.010916,-175.31134
6300000000,-12.38849,-149.88504,13.102844,40.760426,-21.904821,-67.971848,-19.967638,177.18951
6400000000,-12.462596,-158.10992,13.076698,31.505659,-21.894463,-76.321762,-19.961451,169.82397
6500000000,-12.549594,-166.40123,13.047395,22.273046,-21.895006,-84.739838,-19.966026,162.67674
6600000000,-12.615894,-174.60362,13.019733,13.077106,-21.896854,-93.117157,-19.917805,155.6449
6700000000,-12.684307,177.22943,12.988314,3.9076929,-21.901665,-101.40084,-19.850517,148.39404
6800000000,-12.729267,169.13217,12.956648,-5.2370653,-21.89459,-109.54285,-19.805178,141.17633
6900000000,-12.766169,160.9834,12.923105,-14.366991,-21.887167,-117.80236,-19.7757,134.20557
7000000000,-12.777692,152.88579,12.888569,-23.473988,-21.89216,-125.99869,-19.730831,127.39728
7100000000,-12.790089,144.82597,12.852236,-32.549976,-21.905024,-134.24998,-19.643951,120.57366
7200000000,-12.769793,136.80559,12.816136,-41.589867,-21.910397,-142.41562,-19.564142,113.76726
7300000000,-12.743312,128.83002,12.77838,-50.608826,-21.913034,-150.54259,-19.465176,107.03778
7400000000,-12.686536,120.91526,12.741015,-59.601196,-21.905754,-158.65207,-19.360199,100.59353
7500000000,-12.63342,113.08199,12.703712,-68.573425,-21.917603,-166.70734,-19.229008,94.184326
7600000000,-12.58286,105.31295,12.668219,-77.523529,-21.933596,-174.9024,-19.097427,87.766289
7700000000,-12.520803,97.683044,12.633545,-86.45507,-21.940454,176.95317,-18.946033,81.094177
7800000000,-12.441353,90.069977,12.596332,-95.366753,-21.952868,168.86314,-18.783186,74.559837
7900000000,-12.345373,82.404839,12.558579,-104.26447,-21.946833,160.87415,-18.612881,67.857529
