Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.65411013,-1.7214237,-68.228691,-37.683628,-73.891243,128.69742,-0.65931445,-1.3631893
20000000,-0.67618334,-2.4325914,-63.862301,-14.079756,-74.581177,45.609993,-0.65495962,-1.975567
30000000,-0.71080595,-3.4863541,-59.608936,2.944747,-73.096725,-63.834068,-0.65285927,-2.9292173
40000000,-0.74345148,-4.4786954,-55.171776,8.0236025,-60.472618,-103.15659,-0.64929175,-4.0220366
50000000,-0.7716592,-5.4501362,-52.514561,2.680198,-59.028362,-103.75582,-0.65261245,-5.0340838
60000000,-0.79362118,-6.3822637,-49.073334,2.3510659,-60.683861,-18.834969,-0.65488482,-6.0376306
70000000,-0.81178951,-7.3109303,-47.501488,-17.892439,-68.47332,-11.778809,-0.66598707,-6.9677486
80000000,-0.82435387,-8.221571,-45.609634,-20.70723,-68.373116,-34.302113,-0.66722804,-7.976687
90000000,-0.83227479,-9.1236563,-43.843502,-22.070824,-68.880981,-153.21651,-0.66707867,-8.9814672
100000000,-0.8368423,-12.829813,-38.667671,-24.504129,-68.90596,146.99402,-0.66680193,-12.98535
200000000,-0.83700997,-19.39669,-32.079262,-31.501673,-68.863747,134.09821,-0.66756111,-19.955307
300000000,-0.83504003,-28.919186,-24.385105,-42.075951,-65.776421,157.75221,-0.66994244,-29.946848
400000000,-0.83490765,-38.656185,-19.156876,-53.143269,-60.739761,160.38351,-0.67706841,-39.931904
500000000,-0.85656136,-48.745323,-14.952623,-66.126717,-55.930851,149.58998,-0.69093531,-49.951797
600000000,-1.00225,-58.210815,-12.741934,-81.544365,-52.653301,133.2303,-0.70889801,-59.913647
700000000,-1.0795237,-67.646172,-10.717278,-92.076134,-49.911686,122.70716,-0.72807068,-69.943977
800000000,-1.1471515,-76.936768,-9.0852356,-100.77218,-47.824299,113.00433,-0.75193107,-80.035538
900000000,-1.113659,-86.987572,-6.4450288,-107.1422,-45.038239,106.40114,-0.78342456,-90.242493
1000000000,-1.1770372,-97.152328,-4.3714819,-118.318,-42.601891,94.712494,-0.82636184,-100.47674
1100000000,-1.2699186,-107.34354,-2.5998292,-129.87993,-40.674362,83.068466,-0.87957823,-110.72111
1200000000,-1.3885461,-117.60574,-1.0106983,-141.65637,-38.808506,70.848282,-0.9468621,-121.02657
1300000000,-1.5380483,-128.0106,0.44922918,-153.69319,-37.190666,58.879593,-1.0316529,-131.37337
1400000000,-1.7314745,-138.61157,1.8182025,-166.12282,-35.650288,46.844269,-1.1374258,-141.77786
1500000000,-1.9922527,-149.47092,3.1279593,-179.17769,-34.253201,33.990479,-1.2765871,-152.19157
1600000000,-2.3841193,-160.7019,4.4094076,166.56834,-32.872295,20.141569,-1.4674973,-162.5578
1700000000,-3.1243932,-172.25609,5.6424327,149.52106,-31.529402,3.7673402,-1.7488742,-172.52327
1800000000,-4.638238,-179.21242,6.3063002,126.00399,-30.796627,-18.861786,-2.0513625,179.17673
1900000000,-5.0194402,-178.42043,3.9150026,102.39137,-32.876961,-40.690331,-1.9742132,171.45047
2000000000,-4.4616189,-179.75298,1.9023464,101.82491,-34.710472,-41.517681,-1.7133169,162.07324
2100000000,-3.0000391,173.1125,1.2194817,109.56718,-35.279724,-34.070976,-1.4440325,150.43105
2200000000,-2.5477989,158.00581,3.7640944,118.51331,-32.861084,-26.219234,-1.5569576,137.83875
2300000000,-2.6982799,145.2206,5.9412856,107.28019,-30.748013,-36.542019,-1.8084357,126.28645
2400000000,-2.9681296,133.85579,7.2392535,94.713295,-29.447428,-48.44368,-2.0875912,115.21813
2500000000,-3.2797019,123.25482,8.1907988,82.286171,-28.477913,-60.043236,-2.3813879,104.36837
2600000000,-3.6248267,113.14494,8.9601755,70.087646,-27.663193,-71.587189,-2.7017405,93.678886
2700000000,-3.9933362,103.36572,9.6109943,58.030701,-26.976532,-82.679222,-3.046401,83.049423
2800000000,-4.3918161,93.919609,10.17697,46.092014,-26.394869,-93.886459,-3.4264536,72.476387
2900000000,-4.8090796,84.771088,10.674541,34.212246,-25.87405,-104.88369,-3.8403618,61.934597
3000000000,-5.2531734,75.934341,11.112383,22.432711,-25.383915,-115.85496,-4.2925854,51.487427
3100000000,-5.7166214,67.35025,11.498181,10.711454,-24.976494,-126.7812,-4.7804251,41.124268
3200000000,-6.2020912,59.089451,11.835527,-0.92688048,-24.599037,-137.65898,-5.3104606,30.855438
3300000000,-6.7051997,51.17654,12.132439,-12.490416,-24.289639,-148.4818,-5.8752151,20.71183
3400000000,-7.2173157,43.668457,12.392772,-23.93993,-23.985365,-159.03194,-6.4832926,10.711058
3500000000,-7.7266026,36.502495,12.621273,-35.302544,-23.73068,-169.62331,-7.1225033,0.90929592
3600000000,-8.2280979,29.735901,12.819114,-46.562775,-23.515457,179.99434,-7.8074684,-8.7032671
3700000000,-8.7203751,23.276281,12.988017,-57.740555,-23.330194,169.69965,-8.5282192,-18.057222
3800000000,-9.1877785,17.208828,13.132312,-68.795097,-23.163221,159.60466,-9.2916527,-27.169214
3900000000,-9.6257639,11.41415,13.253571,-79.745255,-23.007803,149.59918,-10.080534,-35.974247
4000000000,-10.028273,5.8823342,13.354235,-90.569527,-22.876604,139.5634,-10.899113,-44.487236
4100000000,-10.39336,0.44607154,13.435768,-101.29272,-22.781345,129.75972,-11.735785,-52.661484
4200000000,-10.706797,-4.9110227,13.501609,-111.90962,-22.685015,119.94198,-12.59237,-60.450317
4300000000,-10.971298,-10.245441,13.553552,-122.4258,-22.619116,110.42964,-13.443522,-67.821487
4400000000,-11.196598,-15.666161,13.593243,-132.83939,-22.53459,100.8746,-14.30049,-74.771049
4500000000,-11.384265,-21.198772,13.623604,-143.14906,-22.483301,91.486763,-15.146544,-81.406792
4600000000,-11.542755,-26.92668,13.64719,-153.35985,-22.431341,82.085243,-15.962815,-87.770752
4700000000,-11.673141,-32.803249,13.662883,-163.47691,-22.389305,72.89695,-16.723358,-93.745819
4800000000,-11.788971,-38.945972,13.673136,-173.51329,-22.352942,63.790539,-17.439274,-99.469971
4900000000,-11.901042,-45.330608,13.677244,176.53735,-22.317499,54.701046,-18.113752,-105.03414
5000000000,-12.008778,-51.942936,13.678579,166.65576,-22.294603,45.698463,-18.729786,-110.51288
