Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
0.6e9,-11.76,-50.69,23.21,75.64,-32.67,3.34,-17.78,-82.70
0.7e9,-12.71,-50.64,22.61,64.33,-32.32,-0.10,-19.37,-95.95
0.8e9,-13.48,-49.70,22.07,53.89,-32.07,-3.77,-21.01,-111.25
0.9e9,-13.97,-47.94,21.62,44.25,-31.88,-7.51,-22.57,-127.54
1.0e9,-14.17,-46.01,21.24,35.23,-31.74,-11.34,-24.09,-146.47
1.1e9,-14.12,-44.61,20.95,26.72,-31.66,-15.27,-25.21,-170.38
1.2e9,-13.85,-44.30,20.72,18.67,-31.60,-19.21,-25.32,163.93
1.3e9,-13.51,-45.93,20.57,10.97,-31.58,-23.13,-24.42,142.26
1.4e9,-13.22,-48.66,20.45,3.55,-31.58,-27.21,-23.14,125.62
1.5e9,-13.03,-52.44,20.40,-3.55,-31.60,-31.21,-22.30,112.36
1.6e9,-12.87,-56.00,20.40,-10.53,-31.66,-35.36,-21.21,99.97
1.7e9,-12.74,-60.59,20.44,-17.40,-31.73,-39.63,-20.45,90.85
1.8e9,-12.57,-64.83,20.53,-24.24,-31.81,-44.05,-19.74,80.82
1.9e9,-12.32,-70.61,20.65,-31.05,-31.91,-48.65,-19.19,74.07
2.0e9,-12.15,-77.39,20.82,-37.89,-32.00,-53.53,-18.89,65.49
2.1e9,-11.91,-85.11,21.01,-44.83,-32.11,-58.82,-18.73,57.48
2.2e9,-11.84,-94.45,21.26,-51.96,-32.22,-64.28,-18.88,49.58
2.3e9,-11.71,-103.32,21.48,-59.27,-32.33,-70.14,-19.01,40.16
2.4e9,-11.58,-114.41,21.77,-66.85,-32.45,-76.66,-19.75,31.25
2.5e9,-11.36,-125.29,22.03,-74.82,-32.56,-83.41,-20.68,19.64
2.6e9,-10.75,-137.87,22.35,-83.11,-32.51,-92.09,-22.11,1.63
2.7e9,-10.51,-152.17,22.54,-92.23,-32.96,-100.23,-25.45,-16.73
2.8e9,-9.95,-166.24,22.71,-101.40,-33.19,-109.01,-29.13,-56.17
2.9e9,-9.36,179.27,22.86,-111.02,-33.45,-118.56,-27.48,-118.31
3.0e9,-8.79,164.95,22.88,-121.01,-33.76,-128.78,-22.59,-154.88
3.1e9,-8.27,150.82,22.83,-131.17,-34.10,-139.39,-19.03,-173.88
3.2e9,-7.79,137.73,22.61,-141.31,-34.47,-150.14,-16.31,170.67
3.3e9,-7.41,124.99,22.32,-151.26,-34.84,-160.90,-14.19,158.49
3.4e9,-7.15,113.98,21.90,-160.90,-35.23,-171.42,-12.59,146.44
3.5e9,-6.96,103.20,21.40,-169.96,-35.60,178.70,-11.16,137.22
3.6e9,-6.82,94.04,20.87,-178.58,-35.91,169.44,-10.25,128.56
3.7e9,-6.79,85.65,20.27,173.50,-36.16,161.01,-9.49,120.64
3.8e9,-6.81,77.65,19.67,166.05,-36.31,153.47,-8.97,113.48
3.9e9,-6.92,70.51,19.02,159.20,-36.36,146.55,-8.48,106.15
4.0e9,-7.10,63.84,18.40,152.87,-36.34,140.32,-8.08,99.85
